id,isResult,h,a,goals,xG,datetime,forecast
461,True,91,75,"{'h': '2', 'a': '1'}","{'h': '0.740018', 'a': '2.45631'}",2016-08-13 15:30:00,"{'w': '0.0538', 'd': '0.1247', 'l': '0.8215'}"
462,True,78,76,"{'h': '0', 'a': '1'}","{'h': '0.990062', 'a': '0.684593'}",2016-08-13 18:00:00,"{'w': '0.4295', 'd': '0.3356', 'l': '0.2349'}"
463,True,72,82,"{'h': '1', 'a': '1'}","{'h': '0.790063', 'a': '1.12348'}",2016-08-13 18:00:00,"{'w': '0.2313', 'd': '0.3322', 'l': '0.4365'}"
464,True,92,84,"{'h': '0', 'a': '1'}","{'h': '1.04903', 'a': '1.72089'}",2016-08-13 18:00:00,"{'w': '0.1626', 'd': '0.2888', 'l': '0.5486'}"
465,True,93,85,"{'h': '1', 'a': '1'}","{'h': '1.80523', 'a': '0.485626'}",2016-08-13 18:00:00,"{'w': '0.7885', 'd': '0.1624', 'l': '0.0491'}"
466,True,74,90,"{'h': '1', 'a': '1'}","{'h': '0.937328', 'a': '0.180046'}",2016-08-13 18:00:00,"{'w': '0.5425', 'd': '0.3917', 'l': '0.0658'}"
467,True,88,77,"{'h': '2', 'a': '1'}","{'h': '1.95479', 'a': '1.09877'}",2016-08-13 20:30:00,"{'w': '0.598', 'd': '0.2506', 'l': '0.1514'}"
468,True,73,89,"{'h': '1', 'a': '3'}","{'h': '0.522847', 'a': '1.91105'}",2016-08-14 16:30:00,"{'w': '0.0548', 'd': '0.159', 'l': '0.7862'}"
469,True,83,87,"{'h': '3', 'a': '4'}","{'h': '1.18197', 'a': '1.6591'}",2016-08-14 19:00:00,"{'w': '0.2393', 'd': '0.2859', 'l': '0.4748'}"
470,True,80,81,"{'h': '2', 'a': '1'}","{'h': '1.4603', 'a': '0.445604'}",2016-08-15 23:00:00,"{'w': '0.6858', 'd': '0.2362', 'l': '0.078'}"
471,True,89,74,"{'h': '2', 'a': '0'}","{'h': '1.36553', 'a': '0.613233'}",2016-08-19 23:00:00,"{'w': '0.6019', 'd': '0.2712', 'l': '0.1269'}"
472,True,85,88,"{'h': '1', 'a': '4'}","{'h': '1.31066', 'a': '2.17198'}",2016-08-20 15:30:00,"{'w': '0.1427', 'd': '0.2554', 'l': '0.6019'}"
473,True,92,87,"{'h': '2', 'a': '0'}","{'h': '0.197536', 'a': '0.939025'}",2016-08-20 18:00:00,"{'w': '0.0721', 'd': '0.373', 'l': '0.5549'}"
474,True,84,91,"{'h': '0', 'a': '2'}","{'h': '1.14134', 'a': '2.18655'}",2016-08-20 18:00:00,"{'w': '0.135', 'd': '0.2041', 'l': '0.6609'}"
475,True,82,78,"{'h': '1', 'a': '0'}","{'h': '2.25623', 'a': '0.357943'}",2016-08-20 18:00:00,"{'w': '0.8706', 'd': '0.1053', 'l': '0.0241'}"
