fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
263,22157,Everton,West Ham,Everton,West Ham
264,22158,Fulham,Brighton,Fulham,Brighton
267,22161,Newcastle,Wolves,Newcastle United,Wolverhampton Wanderers
268,22162,Nott'm Forest,Liverpool,Nottingham Forest,Liverpool
270,22164,Spurs,Crystal Palace,Tottenham,Crystal Palace
265,22159,Luton,Aston Villa,Luton,Aston Villa
262,22156,Burnley,Bournemouth,Burnley,Bournemouth
266,22160,Man City,Man Utd,Manchester City,Manchester United
269,22163,Sheffield Utd,Arsenal,Sheffield United,Arsenal
278,22172,Man Utd,Everton,Manchester United,Everton
273,22165,Bournemouth,Sheffield Utd,Bournemouth,Sheffield United
276,22170,Crystal Palace,Luton,Crystal Palace,Luton
280,22174,Wolves,Fulham,Wolverhampton Wanderers,Fulham
271,22166,Arsenal,Brentford,Arsenal,Brentford
272,22167,Aston Villa,Spurs,Aston Villa,Tottenham
274,22168,Brighton,Nott'm Forest,Brighton,Nottingham Forest
279,22173,West Ham,Burnley,West Ham,Burnley
277,22171,Liverpool,Man City,Liverpool,Manchester City
275,22169,Chelsea,Newcastle,Chelsea,Newcastle United
162,25861,Bournemouth,Luton,Bournemouth,Luton
281,22175,Arsenal,Chelsea,Arsenal,Chelsea
283,22177,Burnley,Brentford,Burnley,Brentford
284,22178,Crystal Palace,Newcastle,Crystal Palace,Newcastle United
287,22181,Luton,Nott'm Forest,Luton,Nottingham Forest
288,22182,Man Utd,Sheffield Utd,Manchester United,Sheffield United
290,22184,Wolves,Bournemouth,Wolverhampton Wanderers,Bournemouth
286,22180,Fulham,Spurs,Fulham,Tottenham
285,22179,Everton,Liverpool,Everton,Liverpool
289,22183,West Ham,Aston Villa,West Ham,Aston Villa
282,22176,Brighton,Man City,Brighton,Manchester City
297,22191,Newcastle,West Ham,Newcastle United,West Ham
292,22185,Bournemouth,Everton,Bournemouth,Everton
294,22188,Chelsea,Burnley,Chelsea,Burnley
298,22192,Nott'm Forest,Crystal Palace,Nottingham Forest,Crystal Palace
299,22193,Sheffield Utd,Fulham,Sheffield United,Fulham
300,22194,Spurs,Luton,Tottenham,Luton
291,22186,Aston Villa,Wolves,Aston Villa,Wolverhampton Wanderers
293,22187,Brentford,Man Utd,Brentford,Manchester United
295,22189,Liverpool,Brighton,Liverpool,Brighton
296,22190,Man City,Arsenal,Manchester City,Arsenal
302,22195,Bournemouth,Crystal Palace,Bournemouth,Crystal Palace
301,22196,Arsenal,Luton,Arsenal,Luton
304,22197,Burnley,Wolves,Burnley,Wolverhampton Wanderers
305,22198,Nott'm Forest,Fulham,Nottingham Forest,Fulham
306,22199,West Ham,Spurs,West Ham,Tottenham
303,22200,Brentford,Brighton,Brentford,Brighton
307,22201,Chelsea,Man Utd,Chelsea,Manchester United
310,22202,Newcastle,Everton,Newcastle United,Everton
308,22203,Liverpool,Sheffield Utd,Liverpool,Sheffield United
309,22204,Man City,Aston Villa,Manchester City,Aston Villa
311,22205,Aston Villa,Brentford,Aston Villa,Brentford
312,22206,Brighton,Arsenal,Brighton,Arsenal
313,22207,Crystal Palace,Man City,Crystal Palace,Manchester City
314,22208,Everton,Burnley,Everton,Burnley
315,22209,Fulham,Newcastle,Fulham,Newcastle United
316,22210,Luton,Bournemouth,Luton,Bournemouth
317,22211,Man Utd,Liverpool,Manchester United,Liverpool
318,22212,Sheffield Utd,Chelsea,Sheffield United,Chelsea
319,22213,Spurs,Nott'm Forest,Tottenham,Nottingham Forest
320,22214,Wolves,West Ham,Wolverhampton Wanderers,West Ham
322,22215,Bournemouth,Man Utd,Bournemouth,Manchester United
321,22216,Arsenal,Aston Villa,Arsenal,Aston Villa
323,22217,Brentford,Sheffield Utd,Brentford,Sheffield United
324,22218,Burnley,Brighton,Burnley,Brighton
325,22219,Chelsea,Everton,Chelsea,Everton
326,22220,Liverpool,Crystal Palace,Liverpool,Crystal Palace
327,22221,Man City,Luton,Manchester City,Luton
328,22222,Newcastle,Spurs,Newcastle United,Tottenham
329,22223,Nott'm Forest,Wolves,Nottingham Forest,Wolverhampton Wanderers
330,22224,West Ham,Fulham,West Ham,Fulham
331,22225,Aston Villa,Bournemouth,Aston Villa,Bournemouth
332,22226,Brighton,Chelsea,Brighton,Chelsea
333,22227,Crystal Palace,West Ham,Crystal Palace,West Ham
334,22228,Everton,Nott'm Forest,Everton,Nottingham Forest
335,22229,Fulham,Liverpool,Fulham,Liverpool
