element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
134,4,12,2,True,2023-08-12T14:00:00Z,4,1,1,90,0,0,0,1,0,0,0,0,0,0,0,18,29.0,73.4,34.0,13.6,1,0.49,0.47,0.96,1.45,65,0,374471,0,0
134,20,20,1,False,2023-08-19T14:00:00Z,1,4,2,80,0,0,0,1,0,0,0,1,0,0,0,12,9.2,22.7,0.0,3.2,1,0.00,0.17,0.17,1.88,65,-42168,342451,5885,48053
134,24,19,10,True,2023-08-26T16:30:00Z,1,3,3,90,1,0,0,3,0,0,0,0,0,0,3,39,70.0,89.8,38.0,19.8,1,0.16,0.30,0.46,3.33,64,-93646,251479,4411,98057
134,33,15,3,True,2023-09-02T16:30:00Z,3,1,4,88,0,0,1,0,0,0,0,0,0,0,0,9,17.4,34.9,6.0,5.8,1,0.00,0.06,0.06,0.86,64,-18363,238395,6125,24488
134,45,14,10,False,2023-09-16T14:00:00Z,1,3,5,90,1,0,0,1,0,0,0,0,0,0,3,34,48.2,2.1,26.0,7.6,1,0.34,0.01,0.35,0.96,63,-23043,218195,4858,27901
134,53,3,0,True,2023-09-24T13:00:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,63,64647,291217,99066,34419
134,61,2,0,False,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,63,-108944,175650,1335,110279
134,72,11,2,True,2023-10-08T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,7,2.8,21.5,6.0,3.0,1,0.08,0.06,0.14,2.49,63,-27307,152918,2606,29913
134,86,13,2,False,2023-10-21T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,9,3.2,5.5,6.0,1.5,1,0.14,0.02,0.16,0.75,63,-3443,151596,4998,8441
134,94,10,6,True,2023-10-29T14:00:00Z,1,1,10,90,0,1,0,1,0,0,0,0,0,0,1,22,32.8,36.5,9.0,7.8,1,0.08,0.13,0.21,0.71,63,-2430,149618,7612,10042
134,103,9,2,False,2023-11-04T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,13,9.4,23.7,8.0,4.1,1,0.06,0.16,0.22,0.71,63,14115,165286,21027,6912
134,114,17,3,True,2023-11-12T14:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,1,15,8.4,36.3,2.0,4.7,1,0.00,0.09,0.09,1.32,63,89,165628,10969,10880
134,128,16,9,False,2023-11-25T15:00:00Z,2,3,13,90,0,2,0,2,0,0,0,0,0,0,1,41,59.6,80.0,2.0,14.2,1,0.00,0.30,0.30,1.69,63,12053,180846,21550,9497
134,135,7,0,False,2023-12-03T14:00:00Z,3,2,14,33,0,0,0,1,0,0,0,1,0,0,0,7,19.4,35.1,37.0,9.2,0,0.18,0.38,0.56,0.82,63,12709,192154,20008,7299
134,142,4,12,True,2023-12-06T19:30:00Z,2,1,15,90,1,1,0,1,0,0,0,0,0,0,2,32,55.0,22.9,30.0,10.8,1,0.40,0.31,0.71,1.33,63,-4479,187607,9252,13731
134,152,6,7,True,2023-12-09T15:00:00Z,1,1,16,90,0,1,0,1,0,0,0,0,0,0,2,29,50.6,93.0,34.0,17.8,1,0.27,0.58,0.85,0.94,63,113733,309070,118968,5235
134,161,1,1,False,2023-12-17T14:00:00Z,2,0,17,90,0,0,0,2,0,0,0,1,0,0,0,10,29.4,51.3,8.0,8.9,1,0.41,0.17,0.58,2.26,64,21730,327506,51298,29568
134,172,8,7,False,2023-12-21T20:00:00Z,1,1,18,90,0,1,0,1,0,0,0,0,0,0,2,28,40.0,81.1,18.0,13.9,1,0.11,0.43,0.54,1.36,64,7370,338029,28070,20700
134,184,18,2,True,2023-12-28T19:30:00Z,4,2,19,90,0,0,0,2,0,0,0,0,0,0,0,25,36.2,45.7,0.0,8.2,1,0.00,0.33,0.33,2.48,64,27146,365422,42926,15780
134,199,19,3,False,2024-01-02T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,10,18.8,34.2,32.0,8.5,1,0.62,0.14,0.76,0.68,64,9847,375340,37266,27419
134,204,20,3,True,2024-01-22T19:45:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,17,17.8,69.8,4.0,9.2,1,0.00,0.71,0.71,1.38,65,315905,704604,389171,73266
134,214,12,2,False,2024-01-30T19:45:00Z,4,0,22,90,0,0,0,4,0,0,0,0,0,0,0,9,18.8,28.2,6.0,5.3,1,0.09,0.20,0.29,2.89,65,-17408,680763,49897,67305
134,224,8,11,True,2024-02-03T15:00:00Z,4,1,23,90,0,2,0,1,0,0,0,0,0,0,3,45,51.6,42.3,11.0,10.5,1,0.10,0.38,0.48,0.32,65,-92832,587798,10131,102963
134,238,18,10,False,2024-02-10T15:00:00Z,2,1,24,90,1,0,0,2,0,0,0,0,0,0,3,36,57.2,7.5,21.0,8.6,1,0.79,0.06,0.85,1.60,64,-26045,563404,35378,61423
134,249,17,8,False,2024-02-18T14:00:00Z,0,5,25,90,0,1,1,0,0,0,0,0,0,0,2,39,47.4,132.8,11.0,19.1,1,0.90,0.79,1.69,0.58,64,63586,623741,99183,35597
134,254,9,7,True,2024-02-24T15:00:00Z,1,1,26,90,0,1,0,1,0,0,0,1,0,0,3,31,43.4,87.0,5.0,13.5,1,0.05,0.29,0.34,0.28,65,406363,1138181,432686,26323
134,264,10,1,False,2024-03-02T15:00:00Z,3,0,27,31,0,0,0,1,0,0,0,0,0,0,0,5,0.4,13.0,0.0,1.3,0,0.00,0.08,0.08,0.62,66,66075,1104430,123002,56927
134,274,16,8,True,2024-03-10T14:00:00Z,1,0,28,90,0,1,1,0,0,0,0,0,0,0,2,32,24.8,51.5,0.0,7.6,1,0.00,0.28,0.28,0.68,66,-85174,1019051,35928,121102
