element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
573,10,14,0,False,2023-08-14T19:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,7690,0,0
573,20,5,1,True,2023-08-19T14:00:00Z,1,4,2,19,0,0,0,0,0,0,0,0,0,0,0,3,7.6,0.4,0.0,0.8,0,0.00,0.00,0.00,0.07,45,-803,8337,185,988
573,27,9,1,False,2023-08-26T14:00:00Z,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.06,45,-711,8171,105,816
573,36,8,0,False,2023-09-03T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-510,8044,164,674
573,50,11,0,True,2023-09-16T11:30:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-359,7972,208,567
573,58,12,1,False,2023-09-23T14:00:00Z,1,1,6,45,0,0,0,1,0,0,0,0,0,0,0,5,11.4,0.3,0.0,1.2,0,0.00,0.00,0.00,1.64,44,-159,7907,270,429
573,70,13,2,True,2023-09-30T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,7,8.2,0.5,0.0,0.9,1,0.00,0.00,0.00,0.87,44,-291,7656,149,440
573,80,2,2,True,2023-10-08T13:00:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,8,13.8,0.8,0.0,1.5,1,0.00,0.00,0.00,1.65,44,64,7896,437,373
