element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
111,8,18,0,True,2023-08-13T13:00:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,926,0,0
111,13,10,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-228,770,11,239
111,23,8,1,True,2023-08-26T14:00:00Z,1,1,3,18,0,0,0,1,0,0,0,0,0,0,0,3,4.8,15.8,12.0,3.3,0,0.22,0.02,0.24,0.16,49,90,1053,242,152
111,32,3,1,True,2023-09-02T14:00:00Z,2,2,4,19,0,0,0,1,0,0,0,0,0,0,0,11,14.6,39.8,13.0,6.7,0,0.07,0.71,0.78,1.02,49,-53,1120,66,119
111,46,15,1,False,2023-09-16T16:30:00Z,1,0,5,18,0,0,0,0,0,0,0,0,0,0,0,4,7.6,2.8,0.0,1.0,0,0.00,0.00,0.00,0.00,49,-42,1176,62,104
111,52,9,1,True,2023-09-23T16:30:00Z,1,3,6,28,0,0,0,2,0,0,0,0,0,0,0,4,4.8,0.3,0.0,0.5,0,0.00,0.00,0.00,0.94,49,27,1241,95,68
111,67,16,0,False,2023-10-01T13:00:00Z,1,1,7,21,0,0,0,0,0,0,0,1,0,0,0,0,0.0,14.5,5.0,1.9,0,0.02,0.27,0.29,0.26,49,-17,1249,84,101
111,78,14,1,False,2023-10-07T14:00:00Z,2,1,8,20,0,0,0,2,0,0,0,0,0,0,0,3,2.4,0.0,0.0,0.2,0,0.00,0.00,0.00,0.92,49,4,1306,84,80
111,83,6,2,True,2023-10-21T14:00:00Z,3,0,9,83,0,0,1,0,0,0,0,1,0,0,0,4,11.4,2.4,26.0,4.0,1,0.14,0.02,0.16,1.14,49,62,1433,125,63
111,95,7,0,False,2023-10-28T11:30:00Z,0,2,10,26,0,0,0,0,0,0,0,1,0,0,0,-2,2.2,0.1,2.0,0.4,0,0.00,0.00,0.00,0.92,49,-33,1429,60,93
111,101,19,5,True,2023-11-04T15:00:00Z,3,2,11,90,0,1,0,2,0,0,0,0,0,0,0,22,32.4,23.6,19.0,7.5,1,0.19,0.02,0.21,2.09,49,18,1469,105,87
111,117,11,1,False,2023-11-12T14:00:00Z,3,0,12,45,0,0,0,2,0,0,0,0,0,0,0,5,5.6,0.9,2.0,0.9,0,0.06,0.01,0.07,0.29,49,121,1642,204,83
111,121,1,2,True,2023-11-25T17:30:00Z,0,1,13,90,0,0,0,1,0,0,0,0,0,0,0,10,13.6,4.0,0.0,1.8,1,0.00,0.00,0.00,1.52,49,22,1694,109,87
111,133,12,2,True,2023-12-02T15:00:00Z,3,1,14,90,0,0,0,1,0,0,0,0,0,0,0,10,13.0,4.3,8.0,2.5,1,0.55,0.03,0.58,0.23,49,536,2277,648,112
111,142,5,2,False,2023-12-06T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,8,9.8,11.1,6.0,2.7,1,0.02,0.15,0.17,1.52,49,-8,2272,225,233
111,158,17,0,False,2023-12-09T15:00:00Z,1,0,16,45,0,0,0,1,0,0,0,1,0,0,0,-1,9.0,0.8,8.0,1.8,1,0.09,0.04,0.13,0.12,49,184,2501,421,237
