element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
170,4,16,2,True,2021-08-14T14:00:00Z,3,1,1,90,0,0,0,1,0,0,0,0,0,2,0,14,19.6,0.0,0.0,2.0,50,0,446969,0,0
170,14,10,1,False,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,2,0,12,10.0,0.0,0.0,1.0,50,-11798,502827,20466,32264
170,22,4,6,False,2021-08-28T14:00:00Z,0,2,3,90,0,0,1,0,0,0,0,1,0,3,0,23,18.6,10.0,0.0,2.9,50,-26621,493892,16745,43366
170,35,5,3,True,2021-09-13T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,5,0,19,29.4,0.0,0.0,2.9,50,73210,603366,143497,70287
170,41,2,0,False,2021-09-18T16:30:00Z,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-30010,577123,22838,52848
170,55,15,6,True,2021-09-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,2,0,23,11.2,3.0,0.0,1.4,50,-134885,443057,10950,145835
170,67,13,3,False,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,5,0,18,29.4,0.0,0.0,2.9,50,-19047,432261,7239,26286
170,74,19,3,True,2021-10-17T13:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,3,0,17,29.4,0.0,0.0,2.9,50,-5449,433202,11219,16668
170,86,18,1,True,2021-10-23T14:00:00Z,2,5,9,90,0,0,0,5,0,0,0,0,0,3,0,13,23.0,0.0,0.0,2.3,50,8864,447989,21365,12501
170,100,20,1,False,2021-11-01T20:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,2,0,13,14.8,0.0,0.0,1.5,50,-21302,426436,5465,26767
170,106,17,6,True,2021-11-07T14:00:00Z,0,0,11,90,0,0,1,0,0,0,0,0,0,0,0,20,2.2,0.0,0.0,0.2,50,-17360,411471,2009,19369
170,115,12,2,False,2021-11-21T14:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,4,0,16,25.8,0.0,0.0,2.6,50,-15166,399112,3131,18297
170,122,3,3,False,2021-11-28T14:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,3,0,16,22.6,0.0,0.0,2.3,50,-6759,394101,2268,9027
170,132,11,1,True,2021-12-01T20:15:00Z,1,4,14,90,0,0,0,4,0,0,0,0,0,3,0,15,18.8,0.0,0.0,1.9,50,-10098,384835,878,10976
170,142,1,2,True,2021-12-06T20:00:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,2,0,12,15.4,0.0,0.0,1.5,49,-9081,376571,1362,10443
170,156,7,2,False,2021-12-12T16:30:00Z,3,1,16,90,0,0,0,3,0,0,0,0,0,3,0,15,31.2,0.0,0.0,3.1,49,-3025,374809,4917,7942
170,168,6,8,False,2021-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,9,3,28,66.0,0.0,0.0,6.6,49,-7492,367782,1341,8833
170,205,4,1,True,2022-01-02T14:00:00Z,2,3,21,90,0,0,0,3,0,0,0,0,0,2,0,15,17.8,0.0,0.0,1.8,49,50811,499596,64197,13386
170,217,15,1,False,2022-01-15T15:00:00Z,2,1,22,90,0,0,0,2,0,0,0,0,0,2,0,11,9.6,0.0,0.0,1.0,49,-6538,421714,18026,24564
170,225,2,2,True,2022-01-22T12:30:00Z,0,1,23,90,0,0,0,1,0,0,0,0,0,2,0,13,18.0,10.0,0.0,2.8,49,-15774,416579,3057,18831
170,239,14,4,False,2022-02-08T19:45:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,7,1,24,49.6,0.0,0.0,5.0,49,-4183,415270,9021,13204
170,244,10,6,True,2022-02-12T15:00:00Z,3,0,25,90,0,0,1,0,0,0,0,0,0,0,0,21,5.4,0.0,0.0,0.5,49,-8953,406119,4721,13674
170,258,16,4,False,2022-02-19T15:00:00Z,2,0,26,90,0,0,0,2,0,0,0,0,0,9,0,29,70.6,10.0,0.0,8.1,49,-13082,387141,2626,15708
170,266,12,4,True,2022-02-26T17:30:00Z,0,1,27,90,0,0,0,1,0,0,0,0,0,7,0,23,47.0,0.0,0.0,4.7,49,-5939,384962,3418,9357
170,278,17,1,False,2022-03-07T20:00:00Z,5,0,28,90,0,0,0,5,0,0,0,0,0,3,0,10,21.2,0.0,0.0,2.1,49,1050,389733,15398,14348
170,286,20,2,True,2022-03-13T14:00:00Z,0,1,29,90,0,0,0,1,0,0,0,0,0,2,0,12,11.4,0.0,0.0,1.1,49,18052,424424,25784,7732
170,195,14,0,True,2022-03-17T19:45:00Z,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,18052,424424,25784,7732
170,309,19,2,False,2022-04-03T13:00:00Z,2,1,31,90,0,0,0,2,0,0,0,0,0,4,0,18,26.8,0.0,0.0,2.7,49,25753,426761,31560,5807
170,183,5,1,False,2022-04-06T18:30:00Z,3,2,31,90,0,0,0,3,0,0,0,0,0,1,0,9,11.0,0.0,0.0,1.1,49,25753,426761,31560,5807
170,314,13,9,True,2022-04-09T11:30:00Z,1,0,32,90,0,0,1,0,0,0,0,1,0,4,3,29,32.4,10.0,0.0,4.2,49,-11385,414613,1963,13348
170,172,9,2,True,2022-04-20T18:45:00Z,1,1,33,90,0,0,0,1,0,0,0,0,0,2,0,13,15.4,0.0,0.0,1.5,48,-7635,403536,3066,10701
170,338,11,1,False,2022-04-24T15:30:00Z,2,0,34,90,0,0,0,2,0,0,0,0,0,2,0,12,13.2,0.0,0.0,1.3,48,-6149,401591,4003,10152
170,342,6,10,True,2022-05-01T13:00:00Z,1,0,35,90,0,0,1,0,0,0,0,0,0,5,3,31,38.2,0.0,0.0,3.8,48,2525,405308,9776,7251
170,357,9,6,False,2022-05-08T13:00:00Z,1,2,36,90,0,0,0,1,0,0,0,0,0,7,2,25,42.0,0.0,0.0,4.2,48,75385,492771,79857,4472
170,299,18,6,False,2022-05-11T18:45:00Z,0,0,36,90,0,0,1,0,0,0,0,0,0,0,0,22,3.8,0.0,0.0,0.4,48,75385,492771,79857,4472
170,362,3,2,True,2022-05-15T15:30:00Z,2,3,37,90,0,0,0,3,0,0,0,0,0,4,0,20,34.0,0.0,0.0,3.4,48,119025,793504,123221,4196
170,322,7,2,True,2022-05-19T18:45:00Z,3,2,37,90,0,0,0,2,0,0,0,0,0,3,0,13,28.4,0.0,0.0,2.8,48,119025,793504,123221,4196
170,371,1,0,False,2022-05-22T15:00:00Z,5,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-23128,563730,7468,30596
