element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
506,7,15,1,False,2021-08-14T16:30:00Z,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.8,2.0,0.3,55,0,6475,0,0
506,15,5,3,True,2021-08-21T11:30:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,13,11.2,39.2,30.0,8.0,55,-943,6776,491,1434
506,23,6,2,True,2021-08-28T16:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,9,7.0,25.7,13.0,4.6,55,3309,11935,5349,2040
506,36,10,3,False,2021-09-12T15:30:00Z,0,3,4,62,0,0,1,0,0,0,0,0,0,0,0,8,4.6,15.2,36.0,5.6,55,12296,29084,22286,9990
506,44,7,0,True,2021-09-18T14:00:00Z,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-12017,16262,4746,16763
506,52,3,0,False,2021-09-25T16:30:00Z,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6370,10323,128,6498
506,66,12,0,True,2021-10-03T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1754,8768,96,1850
506,80,18,0,False,2021-10-16T11:30:00Z,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-941,7864,55,996
506,88,13,0,False,2021-10-24T15:30:00Z,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-439,7450,31,470
506,94,4,0,True,2021-10-30T14:00:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-479,6973,41,520
506,110,19,0,False,2021-11-07T16:30:00Z,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-211,6783,33,244
