element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
425,9,14,1,False,2021-08-15T13:00:00Z,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.1,0.0,0.1,40,0,169647,0,0
425,20,9,0,True,2021-08-23T19:00:00Z,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2618,183314,10375,12993
425,28,7,0,True,2021-08-28T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-9523,179244,11925,21448
425,39,16,0,False,2021-09-11T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,900,192125,36670,35770
425,49,13,0,True,2021-09-19T13:00:00Z,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-12733,179552,5293,18026
425,56,10,0,False,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-11329,169738,2397,13726
425,69,3,0,True,2021-10-03T13:00:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-9156,161520,1150,10306
425,74,8,7,False,2021-10-17T13:00:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,1,27,18.0,16.9,4.0,3.9,39,1353,167662,9750,8397
425,90,17,6,True,2021-10-24T13:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,25,18.4,16.4,4.0,3.9,39,27058,203823,34352,7294
425,91,2,8,False,2021-10-31T16:30:00Z,1,4,10,90,1,0,0,1,0,0,0,0,0,0,0,22,62.0,1.2,17.0,8.0,39,57420,273409,69589,12169
425,110,11,1,True,2021-11-07T16:30:00Z,3,2,11,90,0,0,0,2,0,0,0,0,0,0,0,15,22.6,5.0,1.0,2.9,39,52780,326120,63699,10919
425,120,20,2,False,2021-11-20T15:00:00Z,1,0,12,90,0,0,0,1,0,0,0,0,0,0,0,11,20.4,13.3,0.0,3.4,40,49982,378702,66189,16207
425,129,12,1,False,2021-11-28T14:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,12,19.4,16.3,0.0,3.6,40,3008,381168,24949,21941
425,136,4,2,True,2021-12-01T19:30:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,8,16.0,1.9,0.0,1.8,40,23847,406284,33983,10136
425,149,6,0,True,2021-12-04T12:30:00Z,3,2,15,45,0,0,0,2,0,0,0,0,0,0,0,4,0.4,0.4,0.0,0.1,40,16252,423375,29241,12989
425,154,5,0,False,2021-12-12T14:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-36630,380999,9011,45641
425,161,1,0,False,2021-12-15T20:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-41359,342147,1853,43212
425,189,16,0,True,2021-12-26T15:00:00Z,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-5655,334237,10567,16222
425,200,18,2,False,2021-12-28T15:00:00Z,1,4,20,81,0,0,0,1,0,0,0,0,0,0,0,11,12.2,1.3,0.0,1.4,40,-2632,315679,6751,9383
425,204,7,0,False,2022-01-01T17:30:00Z,2,3,21,45,0,0,0,0,0,0,0,1,0,0,0,6,13.8,13.5,0.0,2.7,40,31441,344445,47290,15849
425,179,15,0,True,2022-01-12T19:45:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,31441,344445,47290,15849
425,219,10,0,True,2022-01-16T14:00:00Z,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-16076,317190,13126,29202
425,228,13,0,False,2022-01-22T15:00:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-13294,316711,4273,17567
425,235,18,0,True,2022-02-08T19:45:00Z,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-14612,302785,3483,18095
425,245,9,0,False,2022-02-13T16:30:00Z,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-13611,289101,2721,16332
425,259,14,1,True,2022-02-19T12:30:00Z,1,1,26,45,0,0,0,0,0,0,0,0,0,0,0,4,5.8,1.2,0.0,0.7,39,-17044,270059,3159,20203
425,270,20,6,True,2022-02-27T14:00:00Z,1,0,27,90,0,0,1,0,0,0,0,0,0,0,0,18,11.8,1.3,4.0,1.7,39,-6646,281301,4882,11528
425,274,11,2,False,2022-03-05T17:30:00Z,1,0,28,90,0,0,0,1,0,0,0,0,0,0,0,15,18.2,24.2,2.0,4.4,39,-3573,262762,10684,14257
425,290,2,2,True,2022-03-13T14:00:00Z,2,1,29,90,0,0,0,1,0,0,0,0,0,0,0,9,17.8,10.0,2.0,3.0,39,19673,293170,28070,8397
