element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
472,8,2,6,True,2021-08-14T14:00:00Z,3,2,1,24,1,0,0,2,0,0,0,0,0,0,1,29,36.2,0.3,26.0,6.3,50,0,22290,0,0
472,12,4,1,False,2021-08-21T16:30:00Z,2,0,2,45,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.2,3.0,0.6,50,67585,135794,82904,15319
472,27,17,1,False,2021-08-29T13:00:00Z,1,0,3,25,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.6,4.0,0.7,50,7006,144082,42900,35894
472,40,20,1,True,2021-09-11T14:00:00Z,0,2,4,37,0,0,0,2,0,0,0,0,0,0,0,4,3.6,0.7,6.0,1.0,50,8764,162253,70291,61527
472,47,15,0,False,2021-09-18T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,19047,185738,55523,36476
472,60,14,0,True,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-19527,165996,12469,31996
472,65,10,0,False,2021-10-02T14:00:00Z,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-19221,147614,6311,25532
472,80,11,2,True,2021-10-16T11:30:00Z,0,5,8,90,0,0,0,5,0,0,0,0,0,0,0,6,3.0,10.8,28.0,4.2,50,-12667,136672,6739,19406
472,86,8,5,False,2021-10-23T14:00:00Z,2,5,9,90,0,1,0,2,0,0,0,0,0,0,0,22,27.2,61.5,33.0,12.2,50,-6546,130577,3821,10367
472,99,16,1,True,2021-10-30T14:00:00Z,0,1,10,45,0,0,0,1,0,0,0,0,0,0,0,0,4.4,2.0,7.0,1.3,50,12027,146599,22798,10771
472,101,1,1,False,2021-11-07T14:00:00Z,1,0,11,16,0,0,0,0,0,0,0,0,0,0,0,6,6.4,18.6,0.0,2.5,50,-3831,141911,6351,10182
472,119,13,1,True,2021-11-20T15:00:00Z,4,1,12,22,0,0,0,0,0,0,0,0,0,0,0,8,10.4,43.6,2.0,5.6,50,-6272,136077,3272,9544
472,127,9,2,False,2021-11-28T14:00:00Z,4,2,13,90,0,0,0,4,0,0,0,0,0,0,0,11,6.4,15.3,42.0,6.4,50,-5877,130558,3147,9024
472,135,6,0,True,2021-12-01T19:30:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1396,129687,3700,5096
472,148,12,6,True,2021-12-04T17:30:00Z,1,3,15,45,1,0,0,1,0,0,0,0,0,0,1,34,46.6,57.5,37.0,14.1,50,-5465,124355,3376,8841
472,152,3,2,False,2021-12-10T20:00:00Z,2,1,16,76,0,0,1,0,0,0,0,0,0,0,0,1,0.8,11.6,1.0,1.3,50,7024,133061,13096,6072
472,200,19,1,True,2021-12-28T15:00:00Z,1,4,20,45,0,0,0,2,0,0,0,0,0,0,0,5,0.0,2.3,1.0,0.3,50,5555,149647,9683,4128
472,210,17,1,True,2022-01-01T15:00:00Z,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,-1470,140310,11324,12794
472,216,14,1,False,2022-01-15T15:00:00Z,1,1,22,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.5,0.0,0.1,50,-6945,133071,11968,18913
472,230,15,1,True,2022-01-21T20:00:00Z,0,3,23,31,0,0,0,2,0,0,0,0,0,0,0,-2,1.8,2.2,54.0,5.8,50,-5663,129844,4107,9770
472,164,5,1,False,2022-02-05T18:00:00Z,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,4,2.0,10.0,10.0,2.2,50,-5663,129844,4107,9770
472,235,19,0,False,2022-02-08T19:45:00Z,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,9889,139654,20294,10405
472,250,4,0,True,2022-02-12T15:00:00Z,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2848,136734,5253,8101
472,252,2,1,False,2022-02-19T15:00:00Z,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,50,437,139375,9221,8784
472,178,7,1,True,2022-02-23T19:30:00Z,1,4,26,39,0,0,0,2,0,0,0,0,0,0,0,2,0.0,1.3,1.0,0.2,50,437,139375,9221,8784
472,268,13,0,False,2022-02-26T15:00:00Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1873,135166,5846,7719
472,279,1,11,True,2022-03-06T14:00:00Z,2,3,28,90,1,1,0,3,0,0,0,1,0,0,3,43,65.4,22.8,44.0,13.2,50,-2052,133719,5840,7892
472,190,20,0,False,2022-03-10T19:30:00Z,4,0,28,90,0,0,0,4,1,0,0,0,0,0,0,-1,0.0,6.7,23.0,2.5,50,-2052,133719,5840,7892
472,289,16,12,False,2022-03-13T14:00:00Z,1,2,29,90,2,0,0,1,0,0,0,1,0,0,3,57,68.8,13.9,37.0,12.0,50,26156,166563,34131,7975
472,306,11,1,False,2022-04-02T11:30:00Z,2,0,31,77,0,0,0,1,0,0,0,1,0,0,0,1,10.4,4.7,35.0,5.0,50,68047,248446,78118,10071
472,320,10,1,True,2022-04-09T14:00:00Z,0,3,32,38,0,0,0,1,0,0,0,0,0,0,0,1,4.4,0.3,3.0,0.8,51,70711,319682,80330,9619
472,328,3,0,True,2022-04-16T14:00:00Z,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-48841,258815,9725,58566
472,339,12,0,False,2022-04-23T14:00:00Z,5,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-45797,222066,1348,47145
472,348,5,0,True,2022-04-30T14:00:00Z,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-30024,193384,657,30681
472,356,7,0,False,2022-05-07T14:00:00Z,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-28827,161699,1056,29883
472,299,8,0,True,2022-05-11T18:45:00Z,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-28827,161699,1056,29883
472,368,9,0,True,2022-05-15T13:00:00Z,1,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-10699,151338,984,11683
472,375,6,1,False,2022-05-22T15:00:00Z,2,1,38,18,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,49,-7109,146376,985,8094
