fpl_code,understat_id,fpl_name,understat_name
171277,5574,Demetri Mitchell,Demetri Mitchell
44302,583,Adlène Guédioura,Adlène Guédioura
39187,781,Jeremain Lens,Jeremain Lens
144660,1720,Didier Ndong,Didier Ndong
108824,909,Brendan Galloway,Brendan Galloway
191769,1765,Jonathan Benteke,Jonathan Benteke
11037,816,Rickie Lambert,Rickie Lambert
49438,632,Jordon Mutch,Jordon Mutch
1822,889,Shay Given,Shay Given
28448,738,Lee Cattermole,Lee Cattermole
15144,1684,David Marshall,David Marshall
26921,601,Arouna Koné,Arouna Koné
44336,1674,Sofiane Feghouli,Sofiane Feghouli
28468,812,Craig Gardner,Craig Gardner
49464,1709,Cristhian Stuani,Cristhian Stuani
61760,722,Kristoffer Nordfeldt,Kristoffer Nordfeldt
18759,1704,Álvaro Arbeloa,Álvaro Arbeloa
106824,555,Memphis Depay,Memphis Depay
69960,858,Philipp Wollscheid,Philipp Wollscheid
91979,490,Jon Flanagan,Jon Flanagan
243532,5559,Dion Pereira,Dion Pereira
17740,616,Jesús Navas,Jesús Navas
243531,5548,Andrew Eleftheriou,Andrew Eleftheriou
114000,1046,George Honeyman,George Honeyman
102738,861,Giannelli Imbula,Giannelli Imbula
82771,1696,Markus Henriksen,Markus Henriksen
39253,805,Jonas Olsson,Jonas Olsson
59741,464,Max Gradel,Max Gradel
34654,1664,Lukas Jutkiewicz,Lukas Jutkiewicz
168287,1672,Jonathan Calleri,Jonathan Calleri
154976,323,Adnan Januzaj,Adnan Januzaj
7525,924,Steven Pienaar,Steven Pienaar
207725,5563,Daniel Agyei,Daniel Agyei
60270,1642,Simone Zaza,Simone Zaza
167789,976,Baily Cargill,Baily Cargill
37748,625,Bacary Sagna,Bacary Sagna
18805,517,Joe Ledley,Joe Ledley
12150,862,Glenn Whelan,Glenn Whelan
61302,1050,Ryan Allsop,Ryan Allsop
44413,1670,Steve Mandanda,Steve Mandanda
28541,634,Fraizer Campbell,Fraizer Campbell
7551,664,Joleon Lescott,Joleon Lescott
12679,1744,Michael Dawson,Michael Dawson
57736,232,Jan Kirchhoff,Jan Kirchhoff
42892,1715,Álvaro Negredo,Álvaro Negredo
19342,577,Ikechi Anya,Ikechi Anya
59796,1703,Gökhan Töre,Gökhan Töre
80789,721,Jordi Amat,Jordi Amat
9110,1692,Shaun Maloney,Shaun Maloney
58791,649,Ryan Mason,Ryan Mason
15276,4430,Joey Barton,Joey Barton
114093,920,Matthew Pennington,Matthew Pennington
20399,1706,Antonio Barragán,Antonio Barragán
28593,818,Victor Anichebe,Victor Anichebe
17336,613,Gaël Clichy,Gaël Clichy
77762,598,Bryan Oviedo,Bryan Oviedo
12744,1753,David Nugent,David Nugent
59856,1698,Abel Hernández,Abel Hernández
106449,479,Kevin Stewart,Kevin Stewart
204760,5586,Michael Folivi,Michael Folivi
160729,1039,Jason Denayer,Jason Denayer
157665,5571,Filip Lesniak,Filip Lesniak
130025,1680,Luis Hernández,Luis Hernández
78315,584,Joel Robles,Joel Robles
91126,1047,Will Keane,Will Keane
56827,580,Costel Pantilimon,Costel Pantilimon
156690,5597,Joshua Harrop,Josh Harrop
224946,5601,Matthew Worthington,Matt Worthington
120447,477,Bradley Smith,Brad Smith
41705,662,Bradley Guzan,Brad Guzan
154051,1762,Oviemuno Ejaria,Ovie Ejaria
49688,2144,Alfred N'Diaye,Alfred N'Diaye
234483,1662,Aiden O'Neill,Aiden O'Neill
96764,1126,M'Baye Niang,M'Baye Niang
178871,1055,Aleix García Serrano,Aleix García
3736,729,John O'Shea,John O'Shea
18507,802,Diego Da Silva Costa,Diego Costa
160817,559,Patrick McNair,Paddy McNair
52287,5550,Evandro Goebel,Evandro
168196,5575,Joel Dinis Castro Pereira Joel Pereira,Joel Pereira
43191,475,Leiva Lucas,Lucas Leiva
86173,1732,Manuel Agudo Durán Nolito,Nolito
48771,1757,Emilio Nsue Lopez,Nsue
61262,692,Oscar dos Santos Emboaba Junior,Oscar
158074,493,Gabriel Armando de Abreu,Gabriel
52538,615,Fernando Francisco Reges,Fernando
55317,1716,Bernardo Espinosa Zúñiga,Bernardo
54771,1752,Fabio Pereira da Silva,Fabio
226944,5789,Boubacar Kamara,Boubacar Kamara
450434,10804,Deniz Undav,Deniz Undav
472713,8942,Aaron Hickey,Aaron Hickey
156687,10742,Ben Pearson,Ben Pearson
208912,10756,Joe Worrall,Joe Worrall
249231,10809,Keane Lewis-Potter,Keane Lewis-Potter
58771,767,Jack Colback,Jack Colback
460028,10805,Levi Colwill,Levi Colwill
235674,10716,Manor Solomon,Manor Solomon
