element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out
257,1,14,2,False,2024-08-16T19:00:00Z,1,0,1,False,90,0,0,0,1,0,0,0,0,0,0,0,7,10.0,1.2,14.0,2.5,1,0.09,0.00,0.09,2.43,0,0,0,0,0,0,0,45,0,10690,0,0
257,15,11,2,True,2024-08-24T14:00:00Z,2,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,0,9.8,4.2,11.0,2.5,1,0.19,0.02,0.21,0.61,0,0,0,0,0,0,0,45,9464,35936,12067,2603
257,25,10,2,False,2024-08-31T14:00:00Z,1,1,3,False,90,0,0,0,1,0,0,0,0,0,0,0,11,14.8,3.0,7.0,2.5,1,0.04,0.01,0.05,0.45,0,0,0,0,0,0,0,45,5524,44366,12227,6703
257,35,19,2,True,2024-09-14T14:00:00Z,1,1,4,False,90,0,0,0,1,0,0,0,0,0,0,0,7,15.2,15.8,9.0,4.0,1,0.09,0.02,0.11,0.76,0,0,0,0,0,0,0,45,-3080,42014,3736,6816
257,44,15,1,True,2024-09-21T14:00:00Z,3,1,5,False,90,0,0,0,1,0,0,0,1,0,0,0,3,4.4,4.3,14.0,2.3,1,0.29,0.02,0.31,1.54,0,0,0,0,0,0,0,45,-1274,41468,2177,3451
257,59,16,5,False,2024-09-28T14:00:00Z,0,1,6,False,90,0,0,1,0,0,0,0,1,0,0,0,19,22.0,7.8,17.0,4.7,1,0.02,0.01,0.03,0.80,0,0,0,0,0,0,0,45,-3247,38685,1473,4720
257,69,13,1,False,2024-10-05T14:00:00Z,3,2,7,False,76,0,0,0,2,0,0,0,0,0,0,0,5,9.2,3.5,0.0,1.3,1,0.00,0.01,0.01,1.34,0,0,0,0,0,0,0,45,-2092,37309,1144,3236
257,72,2,1,True,2024-10-19T14:00:00Z,1,3,8,False,90,0,0,0,3,0,0,0,0,0,0,0,7,18.4,5.8,14.0,3.8,1,0.07,0.04,0.11,1.68,0,0,0,0,0,0,0,45,167,38146,1931,1764
257,87,8,2,False,2024-10-26T16:30:00Z,1,1,9,False,90,0,0,0,1,0,0,0,0,0,0,0,4,22.8,18.3,1.0,4.2,1,0.04,0.05,0.09,0.79,0,0,0,0,0,0,0,45,11,38520,1833,1822
257,92,4,2,True,2024-11-04T20:00:00Z,2,1,10,False,72,0,0,0,1,0,0,0,0,0,0,0,12,26.8,4.5,14.0,4.5,1,0.06,0.03,0.09,0.18,0,0,0,0,0,0,0,45,1345,40402,3045,1700
