element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out
401,5,17,5,True,2024-08-17T14:00:00Z,1,0,1,False,90,0,1,1,0,0,0,0,0,0,0,0,22,25.6,10.8,6.0,4.2,1,0.00,0.08,0.08,1.77,0,0,0,0,0,0,0,85,0,5199017,0,0
401,12,3,2,False,2024-08-25T13:00:00Z,1,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,8,6.6,11.6,49.0,6.7,1,0.26,0.03,0.29,2.23,0,0,0,0,0,0,0,85,-22495,5525861,163637,186132
401,28,18,9,True,2024-09-01T12:30:00Z,2,1,3,False,90,1,0,0,1,0,0,0,0,0,0,3,32,34.6,1.3,45.0,8.1,1,1.00,0.01,1.01,1.26,0,0,0,0,0,0,0,85,-796112,4766539,106505,902617
401,40,20,1,False,2024-09-15T15:30:00Z,1,2,4,False,45,0,0,0,1,0,0,0,0,0,0,0,1,0.6,15.4,5.0,2.1,1,0.06,0.16,0.22,0.63,0,0,0,0,0,0,0,85,-672263,4192833,191794,864057
401,44,9,2,False,2024-09-21T14:00:00Z,3,1,5,False,90,0,0,0,3,0,0,0,0,0,0,0,5,9.6,12.8,11.0,3.3,1,0.09,0.02,0.11,2.29,0,0,0,0,0,0,0,84,-1097550,3096769,26948,1124498
401,58,13,0,True,2024-09-28T11:30:00Z,1,1,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,83,-959259,2157666,13064,972323
401,67,8,0,False,2024-10-05T16:30:00Z,0,0,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,83,-636404,1530171,3183,639587
401,76,5,2,True,2024-10-19T14:00:00Z,0,1,8,False,90,0,0,0,1,0,0,0,0,0,0,0,9,17.8,25.0,75.0,11.8,1,0.81,0.19,1.00,1.12,0,0,0,0,0,0,0,83,-164537,1377682,22484,187021
401,85,6,6,False,2024-10-27T14:00:00Z,2,1,9,False,90,1,0,0,2,0,0,0,0,0,0,0,22,32.2,12.8,56.0,10.1,1,1.21,0.09,1.30,1.64,0,0,0,0,0,0,0,83,-40349,1343367,13079,53428
401,96,1,9,True,2024-11-02T12:30:00Z,1,0,10,False,90,1,0,1,0,0,0,0,0,0,0,3,36,36.6,4.6,28.0,6.9,1,0.29,0.04,0.33,1.05,0,0,0,0,0,0,0,83,-5746,1347058,39325,45071
