element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
306,10,18,8,True,2024-08-19T19:00:00Z,1,1,1,78,1,0,0,1,0,0,0,0,0,0,2,33,40.4,0.1,54.0,9.5,1,0.80,0.00,0.80,0.98,55,0,119633,0,0
306,15,9,2,False,2024-08-24T14:00:00Z,2,1,2,70,0,0,0,2,0,0,0,0,0,0,0,3,0.0,1.6,0.0,0.1,1,0.00,0.00,0.00,1.74,56,290505,533898,320113,29608
306,26,2,1,True,2024-08-31T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,1,0,0,0,1,0.0,11.5,6.0,1.6,1,0.00,0.02,0.02,1.55,56,133188,727503,238666,105478
306,34,7,8,False,2024-09-14T14:00:00Z,2,2,4,90,1,0,0,2,0,0,0,0,0,0,2,34,38.6,13.3,23.0,7.5,1,0.64,0.05,0.69,2.55,56,-60759,691732,105970,166729
306,45,8,2,True,2024-09-21T14:00:00Z,1,1,5,82,0,0,0,1,0,0,0,0,0,0,0,5,0.0,1.2,8.0,0.8,1,0.00,0.01,0.01,1.02,57,490998,1224199,531497,40499
306,51,1,1,False,2024-09-28T14:00:00Z,4,2,6,90,0,0,0,4,0,0,0,1,0,0,0,5,8.2,12.8,0.0,2.1,1,0.00,0.01,0.01,4.60,57,-116595,1095232,135051,251646
306,68,3,2,True,2024-10-05T14:00:00Z,1,0,7,73,0,0,1,0,0,0,0,0,0,0,0,2,0.0,1.5,7.0,0.9,1,0.46,0.00,0.46,1.58,57,133975,1252284,244952,110977
306,78,17,6,False,2024-10-19T14:00:00Z,2,3,8,90,1,0,0,2,0,0,0,1,0,0,1,26,31.0,0.3,30.0,6.1,1,1.03,0.00,1.03,2.15,57,-72392,1185849,65206,137598
306,88,16,8,True,2024-10-25T19:00:00Z,1,3,9,90,1,0,0,3,0,0,0,0,0,0,2,36,44.0,29.6,44.0,11.8,1,0.54,0.07,0.61,1.73,57,-16691,1175315,55195,71886
306,93,10,5,False,2024-11-02T15:00:00Z,1,1,10,90,0,1,0,1,0,0,0,0,0,0,0,18,16.4,27.4,14.0,5.8,1,0.04,0.45,0.49,1.00,57,62022,1251516,111404,49382
306,106,14,0,False,2024-11-10T14:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,57,-152545,1090414,26083,178628
306,117,6,2,True,2024-11-23T12:30:00Z,1,2,12,78,0,0,0,2,0,0,0,0,0,0,0,6,4.2,0.3,2.0,0.7,1,0.00,0.01,0.01,2.64,56,-254910,836533,5692,260602
306,121,4,5,False,2024-11-30T15:00:00Z,4,1,13,63,0,1,0,4,0,0,0,0,0,0,0,16,18.2,11.5,6.0,3.6,1,0.00,0.52,0.52,2.29,56,-94802,750959,8441,103243
306,137,19,4,True,2024-12-03T20:15:00Z,3,1,14,59,1,0,0,0,0,0,0,1,0,0,0,22,38.0,0.0,42.0,8.0,1,0.65,0.00,0.65,1.81,55,974,758893,37383,36409
