element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
230,3,5,2,True,2024-08-17T14:00:00Z,0,3,1,False,90,0,0,0,3,0,0,0,0,0,0,0,8,9.2,19.7,0.0,2.9,1,0.00,0.16,0.16,1.43,55,0,79050,0,0
230,19,18,2,False,2024-08-24T14:00:00Z,4,0,2,False,90,0,0,0,4,0,0,0,0,0,0,0,22,22.4,89.1,9.0,12.1,1,0.03,0.64,0.66,2.43,55,-11542,69461,740,12282
230,24,3,6,True,2024-08-31T14:00:00Z,2,3,3,False,90,0,1,0,3,0,0,0,0,0,0,1,36,33.4,87.6,16.0,13.7,1,0.06,0.75,0.81,2.22,54,-6637,64431,5697,12334
230,31,2,12,False,2024-09-14T16:30:00Z,3,2,4,False,90,1,1,0,3,0,0,0,0,0,0,2,47,61.0,67.6,7.0,13.6,1,0.02,0.87,0.89,2.12,54,-4901,61112,7426,12327
230,45,11,2,False,2024-09-21T14:00:00Z,1,1,5,False,90,0,0,0,1,0,0,0,0,0,0,0,20,11.6,43.8,27.0,8.2,1,0.13,0.34,0.47,0.66,54,180375,256754,196829,16454
230,55,7,15,True,2024-09-28T14:00:00Z,2,1,6,False,82,2,0,0,1,0,0,0,0,0,0,3,46,68.6,29.3,46.0,14.4,1,0.25,0.21,0.46,0.92,55,51525,307066,127927,76402
230,67,15,2,True,2024-10-05T16:30:00Z,0,0,7,False,90,0,0,1,0,0,0,0,1,0,0,0,6,2.6,22.6,4.0,2.9,1,0.04,0.09,0.13,2.05,56,440228,772128,472434,32206
230,73,10,6,False,2024-10-19T14:15:00Z,0,2,8,False,90,0,1,1,0,0,0,0,0,0,0,0,23,26.8,34.5,20.0,8.1,1,0.05,0.18,0.23,1.25,57,338793,1121723,386029,47236
230,87,9,2,True,2024-10-26T16:30:00Z,1,1,9,False,85,0,0,0,1,0,0,0,0,0,0,0,10,8.6,13.4,17.0,3.9,1,0.06,0.13,0.19,1.24,58,273079,1395884,309362,36283
230,98,17,2,False,2024-11-02T15:00:00Z,1,0,10,False,90,0,0,0,1,0,0,0,0,0,0,0,14,12.8,26.8,2.0,4.2,1,0.00,0.09,0.09,0.74,58,-120049,1265079,88291,208340
230,109,19,0,False,2024-11-09T15:00:00Z,0,0,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-205396,1061489,50224,255620
230,114,4,3,True,2024-11-23T15:00:00Z,0,0,12,False,90,0,0,1,0,0,0,0,0,0,0,0,19,18.4,66.5,15.0,10.0,1,0.16,0.17,0.33,1.10,57,-288674,773331,7517,296191
230,126,14,2,False,2024-12-01T13:30:00Z,4,0,13,False,90,0,0,0,4,0,0,0,0,0,0,0,21,6.8,18.9,2.0,2.8,1,0.00,0.27,0.27,0.73,56,-126470,654464,14902,141372
230,134,20,9,True,2024-12-04T19:30:00Z,4,0,14,False,73,0,2,1,0,0,0,0,0,0,0,0,27,5.2,27.6,4.0,3.7,1,0.07,0.06,0.13,0.78,55,-87005,571248,13215,100220
230,151,1,0,False,2024-12-14T15:00:00Z,0,0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-54629,438908,12537,67166
230,164,6,0,True,2024-12-22T14:00:00Z,0,0,17,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-97593,341267,1380,98973
230,176,13,0,False,2024-12-26T12:30:00Z,1,1,18,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-70230,271524,443,70673
230,184,16,0,True,2024-12-29T15:00:00Z,0,2,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,52,-40940,231807,556,41496
230,192,3,0,False,2025-01-04T15:00:00Z,1,0,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,52,-29842,202335,798,30640
