element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
611,4,12,1,True,2024-08-17T11:30:00Z,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,2,3.4,10.3,0.0,1.4,0,0.00,0.02,0.02,0.58,60,0,10540,0,0
611,17,13,6,False,2024-08-24T14:00:00Z,4,1,2,71,1,0,0,3,0,0,0,1,0,0,0,21,34.6,0.3,7.0,4.2,1,0.29,0.00,0.29,3.20,60,723,14925,2851,2128
611,25,9,2,True,2024-08-31T14:00:00Z,1,1,3,80,0,0,0,1,0,0,0,0,0,0,0,9,2.6,2.4,4.0,0.9,1,0.00,0.01,0.01,0.90,60,26754,46176,34319,7565
611,33,5,1,False,2024-09-14T14:00:00Z,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,1,0.00,0.00,0.00,1.22,60,-2305,44029,8903,11208
611,48,17,2,False,2024-09-21T14:00:00Z,1,1,5,60,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.7,30.0,3.1,1,0.70,0.00,0.70,2.11,60,-1099,43968,5080,6179
611,56,2,1,True,2024-09-29T13:00:00Z,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.5,2.0,0.3,0,0.00,0.02,0.02,0.00,60,-9554,34322,1308,10862
611,70,19,1,False,2024-10-05T14:00:00Z,4,1,7,17,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.6,4.0,0.4,0,0.09,0.00,0.09,0.17,59,-6724,28101,994,7718
611,73,8,1,True,2024-10-19T14:15:00Z,0,2,8,19,0,0,0,0,0,0,0,0,0,0,0,7,10.2,29.9,2.0,4.2,0,0.00,0.06,0.06,0.56,59,-3298,25365,1147,4445
611,83,4,7,False,2024-10-26T14:00:00Z,4,3,9,72,1,0,0,3,0,0,0,0,0,0,0,27,44.6,1.9,38.0,8.5,1,0.64,0.02,0.66,3.35,58,-2621,22912,495,3116
611,93,11,3,True,2024-11-02T15:00:00Z,1,1,10,73,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,7.0,0.6,1,0.30,0.00,0.30,0.39,58,8478,32762,10401,1923
611,108,18,9,False,2024-11-10T14:00:00Z,1,2,11,70,1,0,0,1,0,0,0,0,0,0,2,28,40.6,0.5,56.0,9.7,1,0.45,0.00,0.45,1.28,58,-4635,27580,1393,6028
611,116,14,2,True,2024-11-24T16:30:00Z,1,1,12,64,0,0,0,1,0,0,0,0,0,0,0,7,4.4,1.8,13.0,1.9,1,0.17,0.01,0.18,0.62,58,10404,40037,13165,2761
611,127,16,2,False,2024-11-30T15:00:00Z,1,0,13,63,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.5,2.0,0.0,1,0.00,0.00,0.00,1.64,58,8514,48766,12098,3584
