element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
15,2,20,8,True,2024-08-17T14:00:00Z,2,0,1,False,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0.0,2.8,1,0.00,0.00,0.00,0.47,55,0,2143198,0,0
15,11,2,10,False,2024-08-24T16:30:00Z,0,2,2,False,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,1,0.00,0.00,0.00,1.28,55,-16603,2377063,71675,88278
15,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,False,90,0,0,0,1,0,0,0,1,0,3,0,8,33.6,0.0,0.0,3.4,1,0.00,0.01,0.01,1.83,55,288962,2865351,394083,105121
15,39,18,9,False,2024-09-15T13:00:00Z,0,1,4,False,90,0,0,1,0,0,0,0,0,0,5,2,33,41.0,0.0,0.0,4.1,1,0.00,0.00,0.00,0.74,55,-96805,2823889,175717,272522
15,47,13,4,False,2024-09-22T15:30:00Z,2,2,5,False,90,0,0,0,2,0,0,0,0,0,9,0,21,63.0,0.0,0.0,6.3,1,0.00,0.00,0.00,2.16,55,76246,2945014,157350,81104
15,51,11,1,True,2024-09-28T14:00:00Z,4,2,6,False,90,0,0,0,2,0,0,0,0,0,1,0,1,10.8,0.0,0.0,1.1,1,0.00,0.00,0.00,0.32,56,187739,3172537,492448,304709
15,61,17,2,True,2024-10-05T14:00:00Z,3,1,7,False,90,0,0,0,1,0,0,0,0,0,1,0,6,8.0,0.0,0.0,0.8,1,0.00,0.00,0.00,0.65,56,123059,3344605,192663,69604
15,71,3,1,False,2024-10-19T16:30:00Z,2,0,8,False,90,0,0,0,2,0,0,0,0,0,2,0,0,11.8,0.0,0.0,1.2,1,0.00,0.00,0.00,1.82,57,54012,3429779,128397,74385
15,81,12,0,True,2024-10-27T16:30:00Z,2,2,9,False,90,0,0,0,2,0,0,0,1,0,2,0,2,19.6,0.0,0.0,2.0,1,0.00,0.00,0.00,0.85,57,-161805,3259267,18442,180247
15,96,15,3,False,2024-11-02T12:30:00Z,1,0,10,False,90,0,0,0,1,0,0,0,0,0,3,0,11,22.8,0.0,0.0,2.3,1,0.00,0.00,0.00,0.53,56,-82991,3200996,36349,119340
15,103,6,2,False,2024-11-10T16:30:00Z,1,1,11,False,90,0,0,0,1,0,0,0,0,0,2,0,17,20.2,0.0,0.0,2.0,1,0.00,0.00,0.00,1.28,56,-112081,3095312,20560,132641
15,111,16,6,True,2024-11-23T15:00:00Z,3,0,12,False,90,0,0,1,0,0,0,0,0,0,0,0,22,5.2,0.0,0.0,0.5,1,0.00,0.00,0.00,0.33,55,-36915,3080962,57350,94265
15,129,19,2,False,2024-11-30T17:30:00Z,2,5,13,False,90,0,0,0,2,0,0,0,0,0,3,0,6,23.8,0.0,0.0,2.4,1,0.00,0.00,0.00,1.54,55,50220,3151164,86135,35915
15,131,14,6,True,2024-12-04T20:15:00Z,2,0,14,False,90,0,0,1,0,0,0,0,0,0,2,0,25,20.0,0.0,0.0,2.0,1,0.00,0.00,0.00,0.22,55,-34012,3117885,47228,81240
15,145,9,2,False,2024-12-08T14:00:00Z,1,1,15,False,90,0,0,0,1,0,0,0,0,0,1,0,5,11.2,0.0,0.0,1.1,1,0.00,0.00,0.00,0.16,55,82924,3222219,114838,31914
15,151,8,6,True,2024-12-14T15:00:00Z,0,0,16,False,90,0,0,1,0,0,0,0,0,0,0,0,21,4.2,0.0,0.0,0.4,1,0.00,0.00,0.00,0.09,56,113869,3355857,157889,44020
15,163,7,3,False,2024-12-21T17:30:00Z,1,5,17,False,90,0,0,0,1,0,0,0,0,0,5,0,13,36.2,0.0,0.0,3.6,1,0.00,0.00,0.00,1.59,56,51382,3419667,95249,43867
15,171,10,6,True,2024-12-27T20:15:00Z,1,0,18,False,90,0,0,1,0,0,0,0,0,0,0,0,19,2.4,0.0,0.0,0.2,1,0.00,0.00,0.00,0.16,56,45476,3481201,105089,59613
15,182,4,2,False,2025-01-01T17:30:00Z,1,3,19,False,90,0,0,0,1,0,0,0,0,0,1,0,7,11.0,0.0,0.0,1.1,1,0.00,0.00,0.00,0.29,56,-15591,3465472,58050,73641
15,193,5,3,False,2025-01-04T17:30:00Z,1,1,20,False,90,0,0,0,1,0,0,0,0,0,3,0,16,24.6,0.0,0.0,2.5,1,0.00,0.00,0.00,1.52,56,-39096,3437674,71761,110857
15,201,18,2,True,2025-01-15T20:00:00Z,2,1,21,False,90,0,0,0,1,0,0,0,0,0,1,0,8,12.2,0.0,0.0,1.2,1,0.00,0.00,0.00,0.78,56,-92722,3356211,37216,129938
