id,name,code
1,Arsenal,3
2,Bournemouth,91
3,Brighton,36
4,Burnley,90
5,Chelsea,8
6,Crystal Palace,31
7,Everton,11
8,Huddersfield,38
9,Leicester,13
10,Liverpool,14
11,Man City,43
12,Man Utd,1
13,Newcastle,4
14,Southampton,20
15,Stoke,110
16,Swansea,80
17,Spurs,6
18,Watford,57
19,West Brom,35
20,West Ham,21
