event,id,kickoff_time,opponent_team,team_a_score,team_h_score,team_a,team_h
19,188,2017-12-23T15:00:00Z,19,1,3,19,15
2,18,2017-08-20T12:30:00Z,13,0,1,13,8
2,11,2017-08-19T14:00:00Z,18,2,0,18,2
2,14,2017-08-19T14:00:00Z,6,0,1,6,10
2,13,2017-08-19T14:00:00Z,3,0,2,3,9
2,20,2017-08-21T19:00:00Z,7,1,1,7,11
2,15,2017-08-19T14:00:00Z,20,2,3,20,14
2,17,2017-08-19T11:30:00Z,12,4,0,12,16
2,12,2017-08-19T14:00:00Z,19,1,0,19,4
2,19,2017-08-20T15:00:00Z,5,2,1,5,17
2,16,2017-08-19T16:30:00Z,1,0,1,1,15
20,194,2017-12-26T15:00:00Z,15,1,1,15,8
20,191,2017-12-26T15:00:00Z,20,3,3,20,2
20,193,2017-12-28T20:00:00Z,1,3,2,1,6
20,199,2017-12-26T15:00:00Z,9,1,2,9,18
20,195,2017-12-26T17:30:00Z,16,0,5,16,10
20,200,2017-12-26T15:00:00Z,7,0,0,7,19
20,197,2017-12-27T19:45:00Z,11,1,0,11,13
20,198,2017-12-26T12:30:00Z,14,2,5,14,17
20,196,2017-12-26T15:00:00Z,4,2,2,4,12
20,192,2017-12-26T15:00:00Z,3,0,2,3,5
21,204,2017-12-30T15:00:00Z,4,0,0,4,8
21,201,2017-12-30T15:00:00Z,7,1,2,7,2
21,203,2017-12-31T12:00:00Z,11,0,0,11,6
21,209,2017-12-30T15:00:00Z,16,2,1,16,18
21,205,2017-12-30T15:00:00Z,9,1,2,9,10
21,210,2017-12-31T16:30:00Z,1,1,1,1,19
21,207,2017-12-30T15:00:00Z,3,0,0,3,13
21,206,2017-12-30T17:30:00Z,14,0,0,14,12
21,202,2017-12-30T15:00:00Z,15,0,5,15,5
22,220,2018-01-02T19:45:00Z,19,1,2,19,20
22,214,2018-01-01T17:30:00Z,12,2,0,12,7
22,211,2018-01-03T19:45:00Z,5,2,2,5,1
22,213,2018-01-01T15:00:00Z,10,2,1,10,4
22,215,2018-01-01T15:00:00Z,8,0,3,8,9
22,216,2018-01-02T20:00:00Z,18,1,3,18,11
22,217,2018-01-02T19:45:00Z,6,2,1,6,14
22,219,2018-01-02T19:45:00Z,17,2,0,17,16
22,208,2018-01-04T20:00:00Z,20,1,1,20,17
22,212,2018-01-01T12:30:00Z,2,2,2,2,3
22,218,2018-01-01T15:00:00Z,13,1,0,13,15
23,224,2018-01-13T15:00:00Z,20,4,1,20,8
23,221,2018-01-14T13:30:00Z,1,1,2,1,2
23,223,2018-01-13T15:00:00Z,4,0,1,4,6
23,229,2018-01-13T15:00:00Z,14,2,2,14,18
23,225,2018-01-14T16:00:00Z,11,3,4,11,10
23,230,2018-01-13T15:00:00Z,3,0,2,3,19
23,227,2018-01-13T15:00:00Z,16,1,1,16,13
23,228,2018-01-13T17:30:00Z,7,0,4,7,17
23,226,2018-01-15T20:00:00Z,15,0,3,15,12
23,222,2018-01-13T15:00:00Z,9,0,0,9,5
24,240,2018-01-20T15:00:00Z,2,1,1,2,20
24,234,2018-01-20T15:00:00Z,19,1,1,19,7
24,231,2018-01-20T15:00:00Z,6,1,4,6,1
24,233,2018-01-20T15:00:00Z,12,1,0,12,4
24,235,2018-01-20T15:00:00Z,18,0,2,18,9
24,236,2018-01-20T17:30:00Z,13,1,3,13,11
24,237,2018-01-21T16:00:00Z,17,1,1,17,14
24,239,2018-01-22T20:00:00Z,10,0,1,10,16
24,232,2018-01-20T12:30:00Z,5,4,0,5,3
24,238,2018-01-20T15:00:00Z,8,0,2,8,15
25,243,2018-01-30T19:45:00Z,6,1,1,6,20
25,241,2018-01-30T20:00:00Z,10,3,0,10,8
25,245,2018-01-31T19:45:00Z,9,1,2,9,7
25,246,2018-01-31T20:00:00Z,19,0,3,19,11
25,247,2018-01-31T19:45:00Z,4,1,1,4,13
25,248,2018-01-31T19:45:00Z,3,1,1,3,14
25,242,2018-01-30T19:45:00Z,1,1,3,1,16
25,250,2018-01-31T20:00:00Z,12,0,2,12,17
25,244,2018-01-31T19:45:00Z,2,3,0,2,5
25,249,2018-01-31T20:00:00Z,18,0,0,18,15
26,254,2018-02-03T12:30:00Z,11,1,1,11,4
