fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
1,18202,Crystal Palace,Arsenal,Crystal Palace,Arsenal
4,18203,Fulham,Liverpool,Fulham,Liverpool
2,18204,Bournemouth,Aston Villa,Bournemouth,Aston Villa
5,18205,Leeds,Wolves,Leeds,Wolverhampton Wanderers
7,18206,Newcastle,Nott'm Forest,Newcastle United,Nottingham Forest
8,18207,Spurs,Southampton,Tottenham,Southampton
3,18208,Everton,Chelsea,Everton,Chelsea
9,18209,Man Utd,Brighton,Manchester United,Brighton
6,18210,Leicester,Brentford,Leicester,Brentford
10,18211,West Ham,Man City,West Ham,Manchester City
12,18212,Aston Villa,Everton,Aston Villa,Everton
14,18213,Brighton,Newcastle,Brighton,Newcastle United
17,18214,Man City,Bournemouth,Manchester City,Bournemouth
19,18215,Southampton,Leeds,Southampton,Leeds
20,18216,Wolves,Fulham,Wolverhampton Wanderers,Fulham
11,18217,Arsenal,Leicester,Arsenal,Leicester
13,18218,Brentford,Man Utd,Brentford,Manchester United
18,18219,Nott'm Forest,West Ham,Nottingham Forest,West Ham
15,18220,Chelsea,Spurs,Chelsea,Tottenham
16,18221,Liverpool,Crystal Palace,Liverpool,Crystal Palace
29,18222,Spurs,Wolves,Tottenham,Wolverhampton Wanderers
22,18223,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa
23,18224,Everton,Nott'm Forest,Everton,Nottingham Forest
24,18225,Fulham,Brentford,Fulham,Brentford
26,18226,Leicester,Southampton,Leicester,Southampton
21,18227,Bournemouth,Arsenal,Bournemouth,Arsenal
25,18228,Leeds,Chelsea,Leeds,Chelsea
30,18229,West Ham,Brighton,West Ham,Brighton
28,18230,Newcastle,Man City,Newcastle United,Manchester City
27,18231,Man Utd,Liverpool,Manchester United,Liverpool
39,18232,Southampton,Man Utd,Southampton,Manchester United
33,18233,Brentford,Everton,Brentford,Everton
34,18234,Brighton,Leeds,Brighton,Leeds
35,18235,Chelsea,Leicester,Chelsea,Leicester
36,18236,Liverpool,Bournemouth,Liverpool,Bournemouth
37,18237,Man City,Crystal Palace,Manchester City,Crystal Palace
31,18238,Arsenal,Fulham,Arsenal,Fulham
32,18239,Aston Villa,West Ham,Aston Villa,West Ham
40,18240,Wolves,Newcastle,Wolverhampton Wanderers,Newcastle United
38,18241,Nott'm Forest,Spurs,Nottingham Forest,Tottenham
44,18242,Fulham,Brighton,Fulham,Brighton
43,18243,Crystal Palace,Brentford,Crystal Palace,Brentford
50,18244,Southampton,Chelsea,Southampton,Chelsea
45,18245,Leeds,Everton,Leeds,Everton
49,18246,Man City,Nott'm Forest,Manchester City,Nottingham Forest
41,18247,Arsenal,Aston Villa,Arsenal,Aston Villa
42,18248,Bournemouth,Wolves,Bournemouth,Wolverhampton Wanderers
47,18249,West Ham,Spurs,West Ham,Tottenham
48,18250,Liverpool,Newcastle,Liverpool,Newcastle United
46,18251,Leicester,Man Utd,Leicester,Manchester United
55,18252,Everton,Liverpool,Everton,Liverpool
57,18253,Newcastle,Crystal Palace,Newcastle United,Crystal Palace
58,18254,Nott'm Forest,Bournemouth,Nottingham Forest,Bournemouth
59,18255,Spurs,Fulham,Tottenham,Fulham
60,18256,Wolves,Southampton,Wolverhampton Wanderers,Southampton
52,18257,Brentford,Leeds,Brentford,Leeds
54,18260,Chelsea,West Ham,Chelsea,West Ham
51,18258,Aston Villa,Man City,Aston Villa,Manchester City
53,18259,Brighton,Leicester,Brighton,Leicester
56,18261,Man Utd,Arsenal,Manchester United,Arsenal
71,18272,Aston Villa,Southampton,Aston Villa,Southampton
78,18273,Nott'm Forest,Fulham,Nottingham Forest,Fulham
80,18274,Wolves,Man City,Wolverhampton Wanderers,Manchester City
