goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,4,0.19673100113868713,90,DC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473435,0,0,0,0,0.19673100113868713,0,0
0,1,0.0551908016204834,90,DC,Burnley,Southampton,0,1,2020-09-26,14109,2020,417676,0.06140340119600296,0,1,0,0.0551908016204834,0.07888679951429367,0.0174832995980978
1,2,0.1671849936246872,90,DC,Leicester,Burnley,4,2,2020-09-20,14103,2020,416728,0.04059689864516258,0,1,1,0.1671849936246872,0.025552300736308098,0.025552300736308098
