goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,13,Sub,Elche,Getafe,3,1,2022-05-22,17515,2021,537996,0,0,0,0,0,0,0
0,0,0,20,Sub,Getafe,Barcelona,0,0,2022-05-15,17501,2021,536481,0,0,0,0,0,0,0
0,0,0,1,Sub,Osasuna,Getafe,1,1,2022-05-11,17489,2021,534707,0,0,0,0,0,0,0
0,2,0.04497339949011803,15,Sub,Getafe,Real Betis,0,0,2022-05-02,17469,2021,531729,0.034279100596904755,0,1,0,0.04497339949011803,0.06854099780321121,0
0,0,0,1,Sub,Celta Vigo,Getafe,0,2,2022-04-20,17458,2021,527855,0,0,0,0,0,0,0
0,2,0.05675020068883896,77,FW,Getafe,Villarreal,1,2,2022-04-16,17450,2021,526704,0.016521699726581573,0,1,0,0.05675020068883896,0.07327190041542053,0
0,2,0.05316510051488876,43,Sub,Real Madrid,Getafe,2,0,2022-04-09,17441,2021,524931,0,0,0,0,0.05316510051488876,0.03436439856886864,0
0,1,0.022448400035500526,49,FW,Getafe,Mallorca,1,0,2022-04-02,17431,2021,522486,0,0,0,0,0.022448400035500526,0.022448400035500526,0
0,1,0.02423110045492649,75,FW,Athletic Club,Getafe,1,1,2022-03-18,17417,2021,520861,0.02120799943804741,0,1,0,0.02423110045492649,0.04543910175561905,0
0,2,0.06375230103731155,70,FW,Getafe,Valencia,0,0,2022-03-12,17410,2021,519632,0.4935910105705261,0,1,0,0.06375230103731155,0.09565629810094833,0.04181919991970062
0,1,0.04493739828467369,20,Sub,Espanyol,Getafe,2,0,2022-03-05,17401,2021,517660,0.01941310055553913,0,1,0,0.04493739828467369,0.06435039639472961,0.01941310055553913
0,4,0.27447599172592163,65,FW,Getafe,Alaves,2,2,2022-02-26,17389,2021,516084,0,0,0,0,0.27447599172592163,0.7980380058288574,0.5505279898643494
0,1,0.03765770047903061,20,Sub,Cadiz,Getafe,1,1,2022-02-19,17379,2021,514491,0,0,0,0,0.03765770047903061,0.03765770047903061,0
0,2,0.15238699316978455,46,FW,Getafe,Levante,3,0,2022-02-04,17361,2021,510878,0,0,0,0,0.15238699316978455,0.04783790186047554,0
