goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.015332999639213085,90,MC,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125294,0,0,0,0,0.015332999639213085,0.31751999258995056,0.3021869957447052
0,0,0,28,Sub,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135325,0,0,0,0,0,0.13735699653625488,0.13735699653625488
0,1,0.009306609630584717,33,Sub,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134868,0,0,0,0,0.009306609630584717,0.009306609630584717,0
0,3,0.10932900011539459,90,MC,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134711,0,0,0,0,0.10932900011539459,0,0
0,1,0.012185500003397465,90,MC,Middlesbrough,Burnley,0,0,2017-04-08,3456,2016,133471,0.09083700180053711,0,2,0,0.012185500003397465,0.10791999846696854,0.09573479741811752
0,1,0.0132106002420187,68,MC,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133498,0.05552290007472038,0,1,0,0.0132106002420187,0.28606900572776794,0.27285900712013245
0,2,0.09012170135974884,77,MC,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133021,0.10736099630594254,0,4,0,0.09012170135974884,0.17872600257396698,0
0,1,0.10649800300598145,90,MC,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131090,0,0,0,0,0.10649800300598145,0.10649800300598145,0
0,0,0,1,Sub,Middlesbrough,Leicester,0,0,2017-01-02,3330,2016,129543,0,0,0,0,0,0,0
1,2,0.3603549897670746,80,MC,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130676,0,0,0,1,0.3603549897670746,0.3603549897670746,0
0,0,0,33,Sub,Middlesbrough,Liverpool,0,3,2016-12-14,3127,2016,130693,0,0,0,0,0,0,0
0,0,0,1,Sub,Middlesbrough,Chelsea,0,1,2016-11-20,2705,2016,128438,0,0,0,0,0,0,0
0,1,0.03951200097799301,26,Sub,Middlesbrough,Bournemouth,2,0,2016-10-29,2681,2016,127692,0.03869929909706116,0,1,0,0.03951200097799301,0.11415500193834305,0.035943299531936646
