event,id,kickoff_time,opponent_team,team_a_score,team_h_score,team_a,team_h
1,3,2016-08-13T14:00:00Z,17,1,1,17,6
1,8,2016-08-14T15:00:00Z,9,4,3,9,1
1,10,2016-08-15T19:00:00Z,20,1,2,20,4
1,4,2016-08-13T11:30:00Z,8,1,2,8,7
1,6,2016-08-13T14:00:00Z,14,1,1,14,12
1,9,2016-08-14T12:30:00Z,11,3,1,11,2
1,5,2016-08-13T16:30:00Z,15,1,2,15,10
1,7,2016-08-13T14:00:00Z,18,1,1,18,13
1,1,2016-08-13T14:00:00Z,16,1,0,16,3
1,2,2016-08-13T14:00:00Z,19,1,0,19,5
10,92,2016-10-30T13:30:00Z,20,0,2,20,6
10,99,2016-10-29T14:00:00Z,7,0,1,7,18
10,94,2016-10-29T14:00:00Z,2,0,2,2,12
10,97,2016-10-29T11:30:00Z,1,4,1,1,15
10,95,2016-10-30T16:00:00Z,4,2,0,4,13
10,98,2016-10-29T14:00:00Z,8,1,1,8,17
10,100,2016-10-29T14:00:00Z,10,4,0,10,19
10,93,2016-10-29T14:00:00Z,3,0,0,3,11
10,91,2016-10-29T16:30:00Z,9,4,2,9,5
10,96,2016-10-31T20:00:00Z,16,1,3,16,14
11,110,2016-11-05T15:00:00Z,14,1,1,14,20
11,101,2016-11-06T12:00:00Z,17,1,1,17,1
11,104,2016-11-05T17:30:00Z,6,0,5,6,4
11,105,2016-11-06T14:15:00Z,13,1,2,13,7
11,102,2016-11-05T15:00:00Z,15,2,1,15,2
11,107,2016-11-06T14:15:00Z,18,1,6,18,9
11,106,2016-11-06T16:30:00Z,19,2,1,19,8
11,103,2016-11-05T15:00:00Z,5,2,3,5,3
11,108,2016-11-05T15:00:00Z,12,1,1,12,10
11,109,2016-11-06T15:00:00Z,11,3,1,11,16
12,112,2016-11-19T15:00:00Z,16,1,1,16,6
12,119,2016-11-19T15:00:00Z,8,1,2,8,18
12,114,2016-11-20T16:00:00Z,4,1,0,4,12
12,117,2016-11-19T15:00:00Z,7,0,3,7,15
12,115,2016-11-19T15:00:00Z,9,0,0,9,13
12,120,2016-11-21T20:00:00Z,3,0,4,3,19
12,118,2016-11-19T17:30:00Z,20,2,3,20,17
12,113,2016-11-19T12:30:00Z,1,1,1,1,11
12,111,2016-11-19T15:00:00Z,10,2,1,10,5
12,116,2016-11-19T15:00:00Z,2,1,0,2,14
13,121,2016-11-27T14:15:00Z,2,1,3,2,1
13,130,2016-11-27T12:00:00Z,14,1,0,14,18
13,123,2016-11-26T17:30:00Z,17,1,2,17,4
13,124,2016-11-26T15:00:00Z,19,1,1,19,7
13,126,2016-11-26T15:00:00Z,15,0,2,15,9
13,125,2016-11-26T15:00:00Z,12,2,2,12,8
13,122,2016-11-26T12:30:00Z,10,2,1,10,3
13,128,2016-11-27T16:30:00Z,6,0,1,6,13
13,129,2016-11-26T15:00:00Z,5,4,5,5,16
13,127,2016-11-27T16:30:00Z,20,1,1,20,11
14,140,2016-12-03T17:30:00Z,1,5,1,1,20
14,133,2016-12-04T16:00:00Z,11,1,1,11,6
14,135,2016-12-05T20:00:00Z,7,0,1,7,12
14,131,2016-12-04T13:30:00Z,9,3,4,9,2
14,137,2016-12-03T15:00:00Z,8,1,2,8,15
14,134,2016-12-03T12:30:00Z,4,3,1,4,10
14,139,2016-12-03T15:00:00Z,18,1,3,18,19
14,138,2016-12-03T15:00:00Z,16,0,5,16,17
14,132,2016-12-03T15:00:00Z,13,0,3,13,5
14,136,2016-12-03T15:00:00Z,3,0,2,3,14
15,141,2016-12-10T15:00:00Z,14,1,3,14,1
15,148,2016-12-10T12:30:00Z,6,2,3,6,18
15,143,2016-12-11T12:00:00Z,19,0,1,19,4
15,144,2016-12-10T15:00:00Z,5,3,3,5,7
15,146,2016-12-11T16:30:00Z,20,2,2,20,9
15,145,2016-12-10T17:30:00Z,10,2,4,10,8
15,142,2016-12-10T15:00:00Z,2,2,3,2,3
15,150,2016-12-11T14:15:00Z,12,0,1,12,13
15,147,2016-12-10T15:00:00Z,15,0,3,15,16
15,149,2016-12-11T14:15:00Z,17,0,1,17,11
16,154,2016-12-14T19:45:00Z,3,0,1,3,20
16,156,2016-12-13T19:45:00Z,1,1,2,1,6
16,155,2016-12-14T20:00:00Z,11,2,1,11,5
16,158,2016-12-14T19:45:00Z,9,3,0,9,12
16,151,2016-12-13T19:45:00Z,8,0,1,8,2
16,152,2016-12-14T19:45:00Z,4,1,0,4,15
16,157,2016-12-14T20:00:00Z,18,0,2,18,10
16,153,2016-12-14T20:00:00Z,16,1,3,16,19
16,160,2016-12-14T20:00:00Z,7,0,3,7,17
16,159,2016-12-14T20:00:00Z,13,0,0,13,14
17,170,2016-12-17T15:00:00Z,7,0,1,7,20
17,163,2016-12-19T20:00:00Z,9,1,0,9,6
17,162,2016-12-17T12:30:00Z,4,1,0,4,5
17,165,2016-12-17T15:00:00Z,16,0,3,16,12
17,161,2016-12-18T13:30:00Z,13,3,1,13,2
17,167,2016-12-17T15:00:00Z,18,0,1,18,15
17,164,2016-12-18T16:00:00Z,1,1,2,1,10
17,169,2016-12-17T17:30:00Z,11,2,0,11,19
17,168,2016-12-18T16:00:00Z,3,1,2,3,17
17,166,2016-12-17T15:00:00Z,8,2,2,8,14
18,171,2016-12-26T15:00:00Z,19,0,1,19,1
18,180,2016-12-26T12:30:00Z,5,1,1,5,18
18,173,2016-12-26T15:00:00Z,2,0,3,2,4
18,174,2016-12-26T17:15:00Z,10,3,0,10,7
18,176,2016-12-27T17:15:00Z,14,1,4,14,9
18,175,2016-12-26T15:00:00Z,6,2,0,6,8
18,172,2016-12-26T15:00:00Z,12,0,1,12,3
18,178,2016-12-28T19:45:00Z,17,4,1,17,13
18,179,2016-12-26T15:00:00Z,20,4,1,20,16
18,177,2016-12-26T15:00:00Z,15,1,3,15,11
19,181,2017-01-01T16:00:00Z,5,0,2,5,1
19,190,2017-01-01T13:30:00Z,17,4,1,17,18
19,183,2016-12-31T15:00:00Z,14,2,4,14,4
19,184,2016-12-30T20:00:00Z,6,2,2,6,7
19,186,2016-12-31T17:30:00Z,10,0,1,10,9
19,185,2016-12-31T15:00:00Z,20,0,1,20,8
19,182,2016-12-31T15:00:00Z,15,1,4,15,3
19,188,2016-12-31T15:00:00Z,19,2,1,19,13
19,189,2016-12-31T15:00:00Z,2,3,0,2,16
19,187,2016-12-31T15:00:00Z,12,1,2,12,11
2,20,2016-08-21T15:00:00Z,2,0,1,2,20
2,17,2016-08-20T14:00:00Z,4,2,1,4,18
2,19,2016-08-21T12:30:00Z,12,2,1,12,15
2,13,2016-08-20T16:30:00Z,1,0,0,1,8
2,12,2016-08-20T14:00:00Z,9,0,2,9,3
2,16,2016-08-20T14:00:00Z,5,0,1,5,17
2,11,2016-08-19T19:00:00Z,13,0,2,13,11
2,15,2016-08-20T14:00:00Z,7,2,0,7,16
2,18,2016-08-20T14:00:00Z,6,2,1,6,19
2,14,2016-08-20T11:30:00Z,10,4,1,10,14
20,200,2017-01-02T17:15:00Z,11,2,0,11,20
20,193,2017-01-02T15:00:00Z,13,0,3,13,6
20,192,2017-01-03T20:00:00Z,16,2,1,16,5
20,195,2017-01-02T12:30:00Z,8,0,0,8,12
20,191,2017-01-03T19:45:00Z,1,3,3,1,2
20,197,2017-01-02T15:00:00Z,9,2,2,9,15
20,194,2017-01-02T15:00:00Z,3,1,2,3,10
20,199,2017-01-02T15:00:00Z,7,1,3,7,19
20,198,2017-01-04T20:00:00Z,4,0,2,4,17
20,196,2017-01-03T20:00:00Z,18,0,2,18,14
21,210,2017-01-14T15:00:00Z,5,0,3,5,20
21,202,2017-01-15T13:30:00Z,10,0,4,10,6
21,209,2017-01-14T15:00:00Z,12,0,0,12,18
21,203,2017-01-14T15:00:00Z,2,1,3,2,7
21,206,2017-01-14T15:00:00Z,14,3,1,14,15
21,204,2017-01-14T17:30:00Z,4,3,0,4,8
21,201,2017-01-14T15:00:00Z,13,0,1,13,3
21,208,2017-01-14T12:30:00Z,19,0,4,19,17
21,207,2017-01-14T15:00:00Z,1,4,0,1,16
21,205,2017-01-15T16:00:00Z,9,1,1,9,11
22,211,2017-01-22T14:15:00Z,3,1,2,3,1
22,214,2017-01-21T15:00:00Z,6,1,0,6,5
22,213,2017-01-22T16:30:00Z,7,0,2,7,4
22,217,2017-01-21T15:00:00Z,20,3,1,20,12
22,212,2017-01-21T15:00:00Z,18,2,2,18,2
22,215,2017-01-21T12:30:00Z,16,3,2,16,9
22,216,2017-01-21T17:30:00Z,17,2,2,17,10
22,218,2017-01-22T12:00:00Z,8,0,3,8,13
22,220,2017-01-21T15:00:00Z,15,0,2,15,19
22,219,2017-01-21T15:00:00Z,11,1,1,11,14
23,227,2017-02-01T19:45:00Z,10,4,0,10,20
23,221,2017-01-31T19:45:00Z,18,2,1,18,1
23,224,2017-01-31T19:45:00Z,19,1,1,19,12
23,222,2017-01-31T19:45:00Z,5,2,0,5,2
23,228,2017-01-31T20:00:00Z,4,1,1,4,9
23,225,2017-01-31T19:45:00Z,17,0,0,17,15
23,223,2017-01-31T19:45:00Z,8,0,1,8,3
23,226,2017-01-31T19:45:00Z,13,1,2,13,16
23,229,2017-02-01T20:00:00Z,7,0,0,7,11
23,230,2017-02-01T20:00:00Z,6,1,1,6,14
24,233,2017-02-04T15:00:00Z,2,3,6,2,6
24,232,2017-02-04T15:00:00Z,15,4,0,15,5
24,239,2017-02-04T15:00:00Z,3,1,2,3,18
24,231,2017-02-04T12:30:00Z,1,1,3,1,4
24,234,2017-02-04T15:00:00Z,9,0,2,9,7
24,235,2017-02-05T16:00:00Z,11,3,0,11,8
24,236,2017-02-05T13:30:00Z,16,1,2,16,10
24,237,2017-02-04T15:00:00Z,20,3,1,20,13
24,240,2017-02-04T15:00:00Z,14,0,1,14,19
24,238,2017-02-04T17:30:00Z,12,0,1,12,17
25,250,2017-02-11T15:00:00Z,19,2,2,19,20
25,241,2017-02-11T12:30:00Z,7,0,2,7,1
25,246,2017-02-11T15:00:00Z,6,0,0,6,12
25,242,2017-02-13T20:00:00Z,10,2,0,10,2
25,244,2017-02-11T17:30:00Z,17,0,2,17,9
25,248,2017-02-11T15:00:00Z,13,4,0,13,15
25,243,2017-02-12T13:30:00Z,4,1,1,4,3
25,249,2017-02-12T16:00:00Z,8,0,2,8,16
25,245,2017-02-11T15:00:00Z,18,0,2,18,11
25,247,2017-02-11T15:00:00Z,5,0,1,5,14
26,253,2017-02-25T15:00:00Z,15,0,2,15,6
26,252,2017-02-25T15:00:00Z,12,0,1,12,5
26,259,2017-02-25T17:30:00Z,20,1,1,20,18
26,251,2017-02-25T15:00:00Z,16,1,3,16,4
26,254,2017-02-25T15:00:00Z,3,1,1,3,7
26,255,2017-02-27T20:00:00Z,9,1,3,9,8
26,260,2017-02-25T15:00:00Z,2,1,2,2,19
26,258,2017-02-26T13:30:00Z,14,0,4,14,17
27,270,2017-03-06T20:00:00Z,4,2,1,4,20
27,268,2017-03-04T15:00:00Z,13,4,3,13,18
27,262,2017-03-04T17:30:00Z,1,1,3,1,9
27,265,2017-03-05T16:00:00Z,10,2,0,10,15
27,261,2017-03-04T15:00:00Z,7,1,3,7,8
27,277,2017-03-08T20:00:00Z,14,0,0,14,10
27,269,2017-03-04T15:00:00Z,5,2,0,5,19
27,267,2017-03-05T13:30:00Z,6,2,3,6,17
27,266,2017-03-04T15:00:00Z,3,2,3,3,16
27,263,2017-03-04T12:30:00Z,2,1,1,2,11
27,264,2017-03-04T15:00:00Z,12,0,2,12,14
28,275,2017-03-11T15:00:00Z,19,0,3,19,6
28,276,2017-03-11T15:00:00Z,16,1,2,16,7
28,272,2017-03-11T15:00:00Z,20,2,3,20,2
28,280,2017-03-12T16:00:00Z,3,1,2,3,9
29,290,2017-03-18T15:00:00Z,8,3,2,8,20
29,283,2017-03-18T15:00:00Z,7,0,4,7,6
29,282,2017-03-18T15:00:00Z,18,0,1,18,5
29,285,2017-03-19T12:00:00Z,11,3,1,11,12
29,281,2017-03-18T17:30:00Z,16,0,2,16,2
29,287,2017-03-18T15:00:00Z,3,0,0,3,15
29,284,2017-03-19T16:30:00Z,9,1,1,9,10
29,289,2017-03-18T12:30:00Z,1,1,3,1,19
29,288,2017-03-19T14:15:00Z,13,1,2,13,17
29,286,2017-03-18T15:00:00Z,4,2,1,4,14
3,23,2016-08-27T14:00:00Z,14,0,1,14,6
3,28,2016-08-27T14:00:00Z,1,3,1,1,18
3,21,2016-08-27T14:00:00Z,3,0,3,3,4
3,24,2016-08-27T16:30:00Z,11,1,0,11,7
3,25,2016-08-27T14:00:00Z,16,1,2,16,8
3,29,2016-08-28T15:00:00Z,20,1,3,20,10
3,26,2016-08-27T14:00:00Z,15,1,1,15,13
3,27,2016-08-27T11:30:00Z,9,1,1,9,17
3,22,2016-08-27T14:00:00Z,2,1,1,2,5
3,30,2016-08-28T12:30:00Z,12,0,0,12,19
30,291,2017-04-02T15:00:00Z,10,2,2,10,1
30,300,2017-04-01T14:00:00Z,15,0,1,15,18
30,293,2017-04-01T14:00:00Z,5,2,1,5,4
30,294,2017-04-01T14:00:00Z,20,1,2,20,7
30,296,2017-04-01T11:30:00Z,6,1,3,6,9
30,295,2017-04-01T14:00:00Z,14,0,2,14,8
30,292,2017-04-01T14:00:00Z,17,2,0,17,3
30,298,2017-04-01T16:30:00Z,2,0,0,2,13
30,299,2017-04-02T12:30:00Z,12,0,0,12,16
30,297,2017-04-01T14:00:00Z,19,0,0,19,11
31,301,2017-04-05T18:45:00Z,20,0,3,20,1
31,307,2017-04-04T18:45:00Z,19,0,2,19,18
31,308,2017-04-05T19:00:00Z,10,1,2,10,4
31,303,2017-04-05T18:45:00Z,12,2,4,12,7
31,309,2017-04-05T19:00:00Z,2,2,2,2,9
31,304,2017-04-04T18:45:00Z,15,0,2,15,8
31,302,2017-04-04T18:45:00Z,14,0,1,14,3
31,310,2017-04-05T18:45:00Z,5,1,3,5,13
31,306,2017-04-05T18:45:00Z,17,3,1,17,16
31,305,2017-04-04T19:00:00Z,6,1,1,6,11
32,320,2017-04-08T14:00:00Z,16,0,1,16,20
32,313,2017-04-09T15:00:00Z,8,2,4,8,6
32,312,2017-04-10T19:00:00Z,1,0,3,1,5
32,315,2017-04-08T14:00:00Z,3,0,0,3,12
32,311,2017-04-08T16:30:00Z,4,3,1,4,2
32,317,2017-04-09T12:30:00Z,11,3,0,11,15
32,314,2017-04-08T14:00:00Z,7,1,3,7,10
32,319,2017-04-08T14:00:00Z,13,1,0,13,19
32,318,2017-04-08T11:30:00Z,18,0,4,18,17
32,316,2017-04-08T14:00:00Z,9,2,1,9,14
33,322,2017-04-15T14:00:00Z,3,1,3,3,6
33,321,2017-04-15T14:00:00Z,8,2,2,8,5
33,329,2017-04-15T14:00:00Z,16,0,1,16,18
33,324,2017-04-17T19:00:00Z,1,2,1,1,12
33,327,2017-04-15T14:00:00Z,20,2,2,20,15
33,325,2017-04-15T16:30:00Z,10,3,0,10,13
33,330,2017-04-16T12:30:00Z,9,1,0,9,19
33,328,2017-04-15T11:30:00Z,2,0,4,2,17
33,323,2017-04-16T15:00:00Z,4,0,2,4,11
33,326,2017-04-15T14:00:00Z,7,1,3,7,14
34,340,2017-04-22T14:00:00Z,6,0,0,6,20
34,271,2017-04-26T18:45:00Z,8,0,1,8,1
34,274,2017-04-26T19:00:00Z,17,1,0,17,5
34,334,2017-04-25T18:45:00Z,13,2,4,13,4
34,335,2017-04-22T14:00:00Z,18,0,2,18,7
34,278,2017-04-26T18:45:00Z,15,0,1,15,12
34,332,2017-04-22T14:00:00Z,12,0,4,12,2
34,337,2017-04-23T15:30:00Z,5,2,1,5,9
34,333,2017-04-23T13:15:00Z,11,2,0,11,3
34,256,2017-04-27T19:00:00Z,11,0,0,11,10
34,339,2017-04-22T14:00:00Z,14,0,2,14,16
35,342,2017-04-30T13:05:00Z,4,3,0,4,6
35,341,2017-04-29T16:30:00Z,3,2,0,3,5
35,349,2017-05-01T19:00:00Z,9,1,0,9,18
35,344,2017-04-30T13:05:00Z,10,2,2,10,12
35,347,2017-04-29T14:00:00Z,2,1,0,2,15
35,345,2017-04-29T14:00:00Z,7,0,0,7,13
35,350,2017-04-29T14:00:00Z,8,1,0,8,19
35,348,2017-04-30T15:30:00Z,1,0,2,1,17
35,343,2017-04-30T11:00:00Z,16,1,1,16,11
35,346,2017-04-29T14:00:00Z,20,0,0,20,14
36,360,2017-05-05T19:00:00Z,17,0,1,17,20
36,351,2017-05-07T15:00:00Z,11,0,2,11,1
36,354,2017-05-08T19:00:00Z,12,0,3,12,4
36,355,2017-05-06T14:00:00Z,15,2,0,15,7
36,352,2017-05-06T14:00:00Z,14,2,2,14,2
36,357,2017-05-07T12:30:00Z,13,0,0,13,9
36,356,2017-05-06T14:00:00Z,18,0,3,18,8
36,353,2017-05-06T14:00:00Z,19,2,2,19,3
36,358,2017-05-06T11:30:00Z,5,0,5,5,10
36,257,2017-05-10T18:45:00Z,1,2,0,1,13
36,359,2017-05-06T16:30:00Z,6,0,1,6,16
37,370,2017-05-14T13:15:00Z,9,4,0,9,20
37,363,2017-05-12T18:45:00Z,18,0,1,18,6
37,331,2017-05-16T18:45:00Z,15,0,2,15,1
37,362,2017-05-14T11:00:00Z,7,0,4,7,5
37,273,2017-05-15T19:00:00Z,18,3,4,18,4
37,365,2017-05-13T14:00:00Z,13,2,1,13,12
37,361,2017-05-13T14:00:00Z,3,1,2,3,2
37,367,2017-05-13T14:00:00Z,16,2,0,16,15
37,336,2017-05-18T18:45:00Z,17,6,1,17,8
37,364,2017-05-13T11:30:00Z,8,1,2,8,10
37,338,2017-05-16T19:00:00Z,19,1,3,19,10
37,279,2017-05-17T18:45:00Z,11,0,0,11,13
37,369,2017-05-12T19:00:00Z,4,1,0,4,19
37,368,2017-05-14T15:30:00Z,11,1,2,11,17
37,366,2017-05-13T16:30:00Z,1,4,1,1,14
38,371,2017-05-21T14:00:00Z,6,1,3,6,1
38,380,2017-05-21T14:00:00Z,10,5,0,10,18
38,373,2017-05-21T14:00:00Z,15,1,5,15,4
38,374,2017-05-21T14:00:00Z,17,7,1,17,7
38,376,2017-05-21T14:00:00Z,12,0,3,12,9
38,375,2017-05-21T14:00:00Z,2,1,1,2,8
38,372,2017-05-21T14:00:00Z,20,2,1,20,3
38,378,2017-05-21T14:00:00Z,14,1,0,14,13
38,379,2017-05-21T14:00:00Z,19,1,2,19,16
38,377,2017-05-21T14:00:00Z,5,0,2,5,11
4,38,2016-09-10T14:00:00Z,18,4,2,18,20
4,31,2016-09-10T14:00:00Z,13,1,2,13,1
4,36,2016-09-10T14:00:00Z,5,2,1,5,12
4,32,2016-09-10T14:00:00Z,19,0,1,19,2
4,34,2016-09-10T16:30:00Z,8,1,4,8,9
4,40,2016-09-12T19:00:00Z,6,3,0,6,15
4,33,2016-09-10T14:00:00Z,7,1,1,7,3
4,39,2016-09-11T15:00:00Z,4,2,2,4,16
4,35,2016-09-10T11:30:00Z,10,2,1,10,11
4,37,2016-09-10T14:00:00Z,17,4,0,17,14
5,42,2016-09-17T16:30:00Z,12,1,3,12,6
5,50,2016-09-18T11:00:00Z,11,1,3,11,18
5,41,2016-09-16T19:00:00Z,9,2,1,9,4
5,43,2016-09-17T14:00:00Z,1,4,1,1,7
5,44,2016-09-17T14:00:00Z,3,0,3,3,8
5,45,2016-09-17T14:00:00Z,2,0,4,2,10
5,48,2016-09-18T13:15:00Z,16,0,1,16,13
5,49,2016-09-18T15:30:00Z,15,0,1,15,17
5,46,2016-09-17T14:00:00Z,20,2,4,20,19
5,47,2016-09-18T13:15:00Z,14,1,4,14,5
6,59,2016-09-25T15:00:00Z,13,3,0,13,20
6,51,2016-09-24T16:30:00Z,4,0,3,4,1
6,55,2016-09-24T14:00:00Z,17,2,1,17,12
6,52,2016-09-24T14:00:00Z,6,0,1,6,2
6,53,2016-09-24T14:00:00Z,7,1,5,7,9
6,57,2016-09-24T14:00:00Z,5,3,2,5,15
6,60,2016-09-26T19:00:00Z,18,0,2,18,3
6,58,2016-09-24T14:00:00Z,10,3,1,10,16
6,54,2016-09-24T11:30:00Z,8,1,4,8,11
6,56,2016-09-24T14:00:00Z,19,1,1,19,14
7,70,2016-10-01T14:00:00Z,12,1,1,12,20
7,62,2016-09-30T19:00:00Z,5,1,1,5,6
7,69,2016-10-01T14:00:00Z,2,2,2,2,18
7,63,2016-10-01T14:00:00Z,4,2,0,4,7
7,66,2016-10-01T14:00:00Z,19,1,1,19,15
7,64,2016-10-02T13:15:00Z,13,0,0,13,8
7,61,2016-10-02T15:30:00Z,1,1,0,1,3
7,68,2016-10-02T13:15:00Z,10,0,2,10,17
7,67,2016-10-01T11:30:00Z,9,2,1,9,16
7,65,2016-10-02T11:00:00Z,14,1,1,14,11
8,71,2016-10-15T14:00:00Z,16,2,3,16,1
8,73,2016-10-15T11:30:00Z,8,0,3,8,4
8,77,2016-10-16T12:30:00Z,18,1,0,18,12
8,72,2016-10-15T14:00:00Z,7,1,6,7,2
8,75,2016-10-17T19:00:00Z,11,0,0,11,9
8,76,2016-10-15T14:00:00Z,6,1,1,6,10
8,78,2016-10-16T15:00:00Z,3,1,3,3,13
8,80,2016-10-15T14:00:00Z,17,1,1,17,19
8,74,2016-10-15T16:30:00Z,20,1,0,20,5
8,79,2016-10-15T14:00:00Z,15,0,2,15,14
9,90,2016-10-22T14:00:00Z,15,0,1,15,20
9,81,2016-10-22T14:00:00Z,12,0,0,12,1
9,84,2016-10-23T15:00:00Z,11,0,4,11,4
9,85,2016-10-22T14:00:00Z,14,2,0,14,7
9,82,2016-10-22T11:30:00Z,17,0,0,17,2
9,87,2016-10-22T16:30:00Z,19,1,2,19,9
9,86,2016-10-22T14:00:00Z,5,1,3,5,8
9,83,2016-10-22T14:00:00Z,6,1,2,6,3
9,88,2016-10-23T12:30:00Z,13,1,1,13,10
9,89,2016-10-22T14:00:00Z,18,0,0,18,16
