id,name,code
1,Arsenal,3
2,Bournemouth,91
3,Burnley,90
4,Chelsea,8
5,Crystal Palace,31
6,Everton,11
7,Hull,88
8,Leicester,13
9,Liverpool,14
10,Man City,43
11,Man Utd,1
12,Middlesbrough,25
13,Southampton,20
14,Stoke,110
15,Sunderland,56
16,Swansea,80
17,Spurs,6
18,Watford,57
19,West Brom,35
20,West Ham,21
