id,isResult,h,a,goals,xG,datetime,forecast
14086,True,228,83,"{'h': '0', 'a': '3'}","{'h': '0.126327', 'a': '2.16287'}",2020-09-12 11:30:00,"{'w': '0.0037', 'd': '0.0476', 'l': '0.9487'}"
14087,True,78,74,"{'h': '1', 'a': '0'}","{'h': '1.39569', 'a': '1.26267'}",2020-09-12 14:00:00,"{'w': '0.3916', 'd': '0.3022', 'l': '0.3062'}"
14090,True,87,245,"{'h': '4', 'a': '3'}","{'h': '3.15412', 'a': '0.269813'}",2020-09-12 16:30:00,"{'w': '0.9658', 'd': '0.0296', 'l': '0.0046'}"
14091,True,81,86,"{'h': '0', 'a': '2'}","{'h': '0.861445', 'a': '1.65911'}",2020-09-12 19:00:00,"{'w': '0.1506', 'd': '0.248', 'l': '0.6014'}"
14092,True,76,75,"{'h': '0', 'a': '3'}","{'h': '0.352997', 'a': '2.95581'}",2020-09-13 13:00:00,"{'w': '0.007', 'd': '0.0358', 'l': '0.9572'}"
14093,True,82,72,"{'h': '0', 'a': '1'}","{'h': '0.822944', 'a': '1.26793'}",2020-09-13 15:30:00,"{'w': '0.22', 'd': '0.2977', 'l': '0.4823'}"
14094,True,238,229,"{'h': '0', 'a': '2'}","{'h': '0.949316', 'a': '1.61307'}",2020-09-14 17:00:00,"{'w': '0.1683', 'd': '0.2906', 'l': '0.5411'}"
14095,True,220,80,"{'h': '1', 'a': '3'}","{'h': '1.44281', 'a': '1.27062'}",2020-09-14 19:15:00,"{'w': '0.3871', 'd': '0.3153', 'l': '0.2976'}"
14096,True,72,76,"{'h': '5', 'a': '2'}","{'h': '4.16254', 'a': '0.315347'}",2020-09-19 11:30:00,"{'w': '0.9973', 'd': '0.0022', 'l': '0.0005'}"
14097,True,245,228,"{'h': '4', 'a': '3'}","{'h': '1.45254', 'a': '1.55503'}",2020-09-19 14:00:00,"{'w': '0.3157', 'd': '0.3137', 'l': '0.3706'}"
14098,True,89,78,"{'h': '1', 'a': '3'}","{'h': '1.09737', 'a': '1.91456'}",2020-09-19 16:30:00,"{'w': '0.1695', 'd': '0.2378', 'l': '0.5927'}"
14099,True,83,81,"{'h': '2', 'a': '1'}","{'h': '1.32902', 'a': '2.06377'}",2020-09-19 19:00:00,"{'w': '0.1916', 'd': '0.2407', 'l': '0.5677'}"
14100,True,74,82,"{'h': '2', 'a': '5'}","{'h': '2.27708', 'a': '2.28004'}",2020-09-20 11:00:00,"{'w': '0.3533', 'd': '0.2765', 'l': '0.3702'}"
14101,True,86,220,"{'h': '0', 'a': '3'}","{'h': '0.520678', 'a': '1.8766'}",2020-09-20 13:00:00,"{'w': '0.0459', 'd': '0.1757', 'l': '0.7784'}"
14102,True,80,87,"{'h': '0', 'a': '2'}","{'h': '0.904183', 'a': '2.25211'}",2020-09-20 15:30:00,"{'w': '0.0572', 'd': '0.195', 'l': '0.7478'}"
14103,True,75,92,"{'h': '4', 'a': '2'}","{'h': '0.987365', 'a': '1.52404'}",2020-09-20 18:00:00,"{'w': '0.2291', 'd': '0.2639', 'l': '0.507'}"
14104,True,71,238,"{'h': '1', 'a': '0'}","{'h': '0.80527', 'a': '0.849709'}",2020-09-21 17:00:00,"{'w': '0.2616', 'd': '0.3753', 'l': '0.3631'}"
14105,True,229,88,"{'h': '1', 'a': '3'}","{'h': '0.727677', 'a': '2.07651'}",2020-09-21 19:15:00,"{'w': '0.0838', 'd': '0.1706', 'l': '0.7456'}"
14106,True,220,89,"{'h': '2', 'a': '3'}","{'h': '2.97659', 'a': '1.57583'}",2020-09-26 11:30:00,"{'w': '0.7204', 'd': '0.1779', 'l': '0.1017'}"
14107,True,78,72,"{'h': '1', 'a': '2'}","{'h': '0.443115', 'a': '2.27189'}",2020-09-26 14:00:00,"{'w': '0.0286', 'd': '0.1089', 'l': '0.8625'}"
14108,True,76,80,"{'h': '3', 'a': '3'}","{'h': '0.911185', 'a': '2.36046'}",2020-09-26 16:30:00,"{'w': '0.0777', 'd': '0.1726', 'l': '0.7497'}"
14109,True,92,74,"{'h': '0', 'a': '1'}","{'h': '0.347136', 'a': '0.706632'}",2020-09-26 19:00:00,"{'w': '0.1508', 'd': '0.4188', 'l': '0.4304'}"
14110,True,238,245,"{'h': '0', 'a': '1'}","{'h': '1.53278', 'a': '1.46641'}",2020-09-27 11:00:00,"{'w': '0.3921', 'd': '0.2709', 'l': '0.337'}"
14111,True,82,86,"{'h': '1', 'a': '1'}","{'h': '3.18765', 'a': '0.942726'}",2020-09-27 13:00:00,"{'w': '0.886', 'd': '0.0894', 'l': '0.0246'}"
14112,True,88,75,"{'h': '2', 'a': '5'}","{'h': '1.44633', 'a': '2.86721'}",2020-09-27 15:30:00,"{'w': '0.0894', 'd': '0.1492', 'l': '0.7614'}"
14113,True,81,229,"{'h': '4', 'a': '0'}","{'h': '3.05703', 'a': '0.385152'}",2020-09-27 18:00:00,"{'w': '0.9395', 'd': '0.0484', 'l': '0.0121'}"
14114,True,228,71,"{'h': '0', 'a': '3'}","{'h': '0.534675', 'a': '2.03222'}",2020-09-28 17:00:00,"{'w': '0.0665', 'd': '0.1687', 'l': '0.7648'}"
14115,True,87,83,"{'h': '3', 'a': '1'}","{'h': '2.73834', 'a': '1.17817'}",2020-09-28 19:15:00,"{'w': '0.7546', 'd': '0.1695', 'l': '0.0759'}"
14467,True,80,78,"{'h': '4', 'a': '0'}","{'h': '2.51433', 'a': '0.103249'}",2020-10-03 11:30:00,"{'w': '0.9641', 'd': '0.034', 'l': '0.0019'}"
14468,True,72,220,"{'h': '4', 'a': '2'}","{'h': '2.34034', 'a': '1.16568'}",2020-10-03 14:00:00,"{'w': '0.6864', 'd': '0.2051', 'l': '0.1085'}"
14469,True,245,88,"{'h': '1', 'a': '1'}","{'h': '2.56662', 'a': '1.41533'}",2020-10-03 16:30:00,"{'w': '0.6582', 'd': '0.1825', 'l': '0.1593'}"
14472,True,86,92,"{'h': '3', 'a': '1'}","{'h': '1.95629', 'a': '0.438849'}",2020-10-03 19:00:00,"{'w': '0.8267', 'd': '0.1338', 'l': '0.0395'}"
14470,True,75,81,"{'h': '0', 'a': '3'}","{'h': '0.456022', 'a': '2.03227'}",2020-10-04 11:00:00,"{'w': '0.0488', 'd': '0.163', 'l': '0.7882'}"
14473,True,74,76,"{'h': '2', 'a': '0'}","{'h': '0.949079', 'a': '0.161283'}",2020-10-04 11:00:00,"{'w': '0.5842', 'd': '0.3636', 'l': '0.0522'}"
14465,True,83,238,"{'h': '2', 'a': '1'}","{'h': '0.667131', 'a': '0.144994'}",2020-10-04 13:00:00,"{'w': '0.481', 'd': '0.4495', 'l': '0.0695'}"
14474,True,229,228,"{'h': '1', 'a': '0'}","{'h': '0.89359', 'a': '0.969393'}",2020-10-04 13:00:00,"{'w': '0.2918', 'd': '0.3533', 'l': '0.3549'}"
14471,True,89,82,"{'h': '1', 'a': '6'}","{'h': '0.873435', 'a': '3.3017'}",2020-10-04 15:30:00,"{'w': '0.0166', 'd': '0.0804', 'l': '0.903'}"
14466,True,71,87,"{'h': '7', 'a': '2'}","{'h': '3.07626', 'a': '1.65705'}",2020-10-04 18:15:00,"{'w': '0.6988', 'd': '0.1605', 'l': '0.1407'}"
14477,True,72,87,"{'h': '2', 'a': '2'}","{'h': '1.35998', 'a': '2.49492'}",2020-10-17 11:30:00,"{'w': '0.1599', 'd': '0.1957', 'l': '0.6444'}"
14475,True,80,74,"{'h': '3', 'a': '3'}","{'h': '1.98708', 'a': '1.42348'}",2020-10-17 14:00:00,"{'w': '0.5201', 'd': '0.2782', 'l': '0.2017'}"
14480,True,88,83,"{'h': '1', 'a': '0'}","{'h': '1.43023', 'a': '0.838322'}",2020-10-17 16:30:00,"{'w': '0.5302', 'd': '0.2829', 'l': '0.1869'}"
14481,True,86,89,"{'h': '1', 'a': '4'}","{'h': '0.867496', 'a': '2.21729'}",2020-10-17 19:00:00,"{'w': '0.0765', 'd': '0.1952', 'l': '0.7283'}"
14482,True,238,228,"{'h': '1', 'a': '1'}","{'h': '1.66363', 'a': '1.35611'}",2020-10-18 11:00:00,"{'w': '0.4387', 'd': '0.3183', 'l': '0.243'}"
14476,True,78,220,"{'h': '1', 'a': '1'}","{'h': '0.761169', 'a': '1.0935'}",2020-10-18 13:00:00,"{'w': '0.2443', 'd': '0.3704', 'l': '0.3853'}"
14483,True,82,81,"{'h': '3', 'a': '3'}","{'h': '1.77602', 'a': '1.49992'}",2020-10-18 15:30:00,"{'w': '0.4284', 'd': '0.2958', 'l': '0.2758'}"
14479,True,75,71,"{'h': '0', 'a': '1'}","{'h': '0.671595', 'a': '0.873776'}",2020-10-18 18:15:00,"{'w': '0.2525', 'd': '0.3567', 'l': '0.3908'}"
14484,True,76,92,"{'h': '0', 'a': '0'}","{'h': '0.731692', 'a': '1.08532'}",2020-10-19 16:30:00,"{'w': '0.2211', 'd': '0.3288', 'l': '0.4501'}"
14478,True,245,229,"{'h': '0', 'a': '1'}","{'h': '1.08332', 'a': '0.618191'}",2020-10-19 19:00:00,"{'w': '0.4733', 'd': '0.3334', 'l': '0.1933'}"
14486,True,71,245,"{'h': '0', 'a': '3'}","{'h': '1.50125', 'a': '2.37695'}",2020-10-23 19:00:00,"{'w': '0.2041', 'd': '0.2113', 'l': '0.5846'}"
14493,True,81,88,"{'h': '1', 'a': '1'}","{'h': '0.263739', 'a': '0.892456'}",2020-10-24 11:30:00,"{'w': '0.0966', 'd': '0.3869', 'l': '0.5165'}"
14489,True,228,78,"{'h': '1', 'a': '2'}","{'h': '1.05258', 'a': '2.81049'}",2020-10-24 14:00:00,"{'w': '0.0666', 'd': '0.1314', 'l': '0.802'}"
14491,True,89,80,"{'h': '0', 'a': '0'}","{'h': '0.648427', 'a': '0.219906'}",2020-10-24 16:30:00,"{'w': '0.4197', 'd': '0.4747', 'l': '0.1056'}"
14490,True,87,238,"{'h': '2', 'a': '1'}","{'h': '2.40286', 'a': '1.39788'}",2020-10-24 19:00:00,"{'w': '0.6498', 'd': '0.2161', 'l': '0.1341'}"
14492,True,74,72,"{'h': '2', 'a': '0'}","{'h': '0.74151', 'a': '0.287054'}",2020-10-25 14:00:00,"{'w': '0.4409', 'd': '0.4299', 'l': '0.1292'}"
14494,True,229,86,"{'h': '1', 'a': '1'}","{'h': '0.758626', 'a': '0.253685'}",2020-10-25 16:30:00,"{'w': '0.4507', 'd': '0.4333', 'l': '0.116'}"
14485,True,83,75,"{'h': '0', 'a': '1'}","{'h': '0.73944', 'a': '0.736172'}",2020-10-25 19:15:00,"{'w': '0.2978', 'd': '0.379', 'l': '0.3232'}"
14487,True,220,76,"{'h': '1', 'a': '1'}","{'h': '0.546807', 'a': '0.295654'}",2020-10-26 17:30:00,"{'w': '0.366', 'd': '0.4803', 'l': '0.1537'}"
14488,True,92,82,"{'h': '0', 'a': '1'}","{'h': '0.95045', 'a': '0.797344'}",2020-10-26 20:00:00,"{'w': '0.3729', 'd': '0.3409', 'l': '0.2862'}"
14504,True,229,78,"{'h': '2', 'a': '0'}","{'h': '1.34895', 'a': '0.802767'}",2020-10-30 20:00:00,"{'w': '0.509', 'd': '0.293', 'l': '0.198'}"
14502,True,238,88,"{'h': '0', 'a': '1'}","{'h': '0.687544', 'a': '1.89643'}",2020-10-31 12:30:00,"{'w': '0.0699', 'd': '0.2127', 'l': '0.7174'}"
14496,True,92,80,"{'h': '0', 'a': '3'}","{'h': '0.407341', 'a': '1.23077'}",2020-10-31 15:00:00,"{'w': '0.1035', 'd': '0.2914', 'l': '0.6051'}"
14499,True,87,81,"{'h': '2', 'a': '1'}","{'h': '1.56302', 'a': '0.269048'}",2020-10-31 17:30:00,"{'w': '0.7962', 'd': '0.171', 'l': '0.0328'}"
14495,True,71,74,"{'h': '3', 'a': '4'}","{'h': '2.44855', 'a': '1.00333'}",2020-11-01 12:00:00,"{'w': '0.7378', 'd': '0.172', 'l': '0.0902'}"
14501,True,86,72,"{'h': '2', 'a': '1'}","{'h': '2.6311', 'a': '1.21805'}",2020-11-01 14:00:00,"{'w': '0.7653', 'd': '0.1563', 'l': '0.0784'}"
14500,True,89,83,"{'h': '0', 'a': '1'}","{'h': '0.394113', 'a': '0.998072'}",2020-11-01 16:30:00,"{'w': '0.1004', 'd': '0.3182', 'l': '0.5814'}"
14503,True,82,220,"{'h': '2', 'a': '1'}","{'h': '1.97236', 'a': '0.324457'}",2020-11-01 19:15:00,"{'w': '0.8592', 'd': '0.1151', 'l': '0.0257'}"
14497,True,228,76,"{'h': '2', 'a': '0'}","{'h': '1.62247', 'a': '0.482685'}",2020-11-02 17:30:00,"{'w': '0.7108', 'd': '0.2057', 'l': '0.0835'}"
14498,True,245,75,"{'h': '1', 'a': '4'}","{'h': '1.74822', 'a': '3.07657'}",2020-11-02 20:00:00,"{'w': '0.1116', 'd': '0.1818', 'l': '0.7066'}"
14506,True,220,92,"{'h': '0', 'a': '0'}","{'h': '1.59022', 'a': '0.326933'}",2020-11-06 17:30:00,"{'w': '0.7227', 'd': '0.2148', 'l': '0.0625'}"
14512,True,74,86,"{'h': '2', 'a': '0'}","{'h': '0.985828', 'a': '0.175633'}",2020-11-06 20:00:00,"{'w': '0.5809', 'd': '0.3577', 'l': '0.0614'}"
14509,True,72,89,"{'h': '1', 'a': '3'}","{'h': '0.376464', 'a': '1.59642'}",2020-11-07 12:30:00,"{'w': '0.069', 'd': '0.2068', 'l': '0.7242'}"
