fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
1,11643,Liverpool,Norwich,Liverpool,Norwich
8,11644,West Ham,Man City,West Ham,Manchester City
2,11645,Bournemouth,Sheffield Utd,Bournemouth,Sheffield United
3,11646,Burnley,Southampton,Burnley,Southampton
4,11647,Crystal Palace,Everton,Crystal Palace,Everton
7,11648,Watford,Brighton,Watford,Brighton
6,11649,Spurs,Aston Villa,Tottenham,Aston Villa
10,11650,Newcastle,Arsenal,Newcastle United,Arsenal
5,11651,Leicester,Wolves,Leicester,Wolverhampton Wanderers
9,11652,Man Utd,Chelsea,Manchester United,Chelsea
11,11653,Arsenal,Burnley,Arsenal,Burnley
12,11654,Aston Villa,Bournemouth,Aston Villa,Bournemouth
13,11655,Brighton,West Ham,Brighton,West Ham
15,11656,Everton,Watford,Everton,Watford
17,11657,Norwich,Newcastle,Norwich,Newcastle United
19,11658,Southampton,Liverpool,Southampton,Liverpool
16,11659,Man City,Spurs,Manchester City,Tottenham
18,11660,Sheffield Utd,Crystal Palace,Sheffield United,Crystal Palace
14,11661,Chelsea,Leicester,Chelsea,Leicester
20,11662,Wolves,Man Utd,Wolverhampton Wanderers,Manchester United
21,11663,Aston Villa,Everton,Aston Villa,Everton
26,11664,Norwich,Chelsea,Norwich,Chelsea
27,11665,Sheffield Utd,Leicester,Sheffield United,Leicester
23,11666,Brighton,Southampton,Brighton,Southampton
29,11667,Watford,West Ham,Watford,West Ham
25,11669,Man Utd,Crystal Palace,Manchester United,Crystal Palace
24,11670,Liverpool,Arsenal,Liverpool,Arsenal
22,11671,Bournemouth,Man City,Bournemouth,Manchester City
30,11668,Wolves,Burnley,Wolverhampton Wanderers,Burnley
28,11672,Spurs,Newcastle,Tottenham,Newcastle United
39,11673,Southampton,Man Utd,Southampton,Manchester United
40,11674,West Ham,Norwich,West Ham,Norwich
33,11675,Chelsea,Sheffield Utd,Chelsea,Sheffield United
34,11676,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa
36,11677,Leicester,Bournemouth,Leicester,Bournemouth
37,11678,Man City,Brighton,Manchester City,Brighton
38,11679,Newcastle,Watford,Newcastle United,Watford
32,11680,Burnley,Liverpool,Burnley,Liverpool
35,11681,Everton,Wolves,Everton,Wolverhampton Wanderers
31,11682,Arsenal,Spurs,Arsenal,Tottenham
44,11683,Liverpool,Newcastle,Liverpool,Newcastle United
45,11684,Man Utd,Leicester,Manchester United,Leicester
43,11685,Brighton,Burnley,Brighton,Burnley
47,11686,Sheffield Utd,Southampton,Sheffield United,Southampton
48,11687,Spurs,Crystal Palace,Tottenham,Crystal Palace
50,11688,Wolves,Chelsea,Wolverhampton Wanderers,Chelsea
46,11689,Norwich,Man City,Norwich,Manchester City
42,11690,Bournemouth,Everton,Bournemouth,Everton
49,11691,Watford,Arsenal,Watford,Arsenal
41,11692,Aston Villa,West Ham,Aston Villa,West Ham
59,11693,Southampton,Bournemouth,Southampton,Bournemouth
56,11694,Leicester,Spurs,Leicester,Tottenham
57,11695,Man City,Watford,Manchester City,Watford
52,11696,Burnley,Norwich,Burnley,Norwich
55,11698,Everton,Sheffield Utd,Everton,Sheffield United
58,11699,Newcastle,Brighton,Newcastle United,Brighton
54,11697,Crystal Palace,Wolves,Crystal Palace,Wolverhampton Wanderers
60,11700,West Ham,Man Utd,West Ham,Manchester United
53,11701,Chelsea,Liverpool,Chelsea,Liverpool
51,11702,Arsenal,Aston Villa,Arsenal,Aston Villa
68,11703,Sheffield Utd,Liverpool,Sheffield United,Liverpool
69,11704,Spurs,Southampton,Tottenham,Southampton
70,11705,Wolves,Watford,Wolverhampton Wanderers,Watford
61,11706,Aston Villa,Burnley,Aston Villa,Burnley
62,11707,Bournemouth,West Ham,Bournemouth,West Ham
63,11708,Chelsea,Brighton,Chelsea,Brighton
64,11709,Crystal Palace,Norwich,Crystal Palace,Norwich
65,11711,Everton,Man City,Everton,Manchester City
66,11710,Leicester,Newcastle,Leicester,Newcastle United
67,11712,Man Utd,Arsenal,Manchester United,Arsenal
72,11713,Brighton,Spurs,Brighton,Tottenham
73,11714,Burnley,Everton,Burnley,Everton
74,11715,Liverpool,Leicester,Liverpool,Leicester
77,11717,Norwich,Aston Villa,Norwich,Aston Villa
79,11719,Watford,Sheffield Utd,Watford,Sheffield United
80,11720,West Ham,Crystal Palace,West Ham,Crystal Palace
75,11716,Man City,Wolves,Manchester City,Wolverhampton Wanderers
78,11718,Southampton,Chelsea,Southampton,Chelsea
71,11722,Arsenal,Bournemouth,Arsenal,Bournemouth
76,11721,Newcastle,Man Utd,Newcastle United,Manchester United
