fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
1,16376,Brentford,Arsenal,Brentford,Arsenal
6,16377,Man Utd,Leeds,Manchester United,Leeds
2,16378,Burnley,Brighton,Burnley,Brighton
3,16379,Chelsea,Crystal Palace,Chelsea,Crystal Palace
4,16380,Everton,Southampton,Everton,Southampton
5,16381,Leicester,Wolves,Leicester,Wolverhampton Wanderers
8,16382,Watford,Aston Villa,Watford,Aston Villa
7,16383,Norwich,Liverpool,Norwich,Liverpool
9,16384,Newcastle,West Ham,Newcastle United,West Ham
10,16385,Spurs,Man City,Tottenham,Manchester City
15,16386,Liverpool,Burnley,Liverpool,Burnley
16,16387,Man City,Norwich,Manchester City,Norwich
11,16388,Aston Villa,Newcastle,Aston Villa,Newcastle United
13,16389,Crystal Palace,Brentford,Crystal Palace,Brentford
14,16390,Leeds,Everton,Leeds,Everton
12,16391,Brighton,Watford,Brighton,Watford
19,16392,Southampton,Man Utd,Southampton,Manchester United
17,16393,Wolves,Spurs,Wolverhampton Wanderers,Tottenham
18,16394,Arsenal,Chelsea,Arsenal,Chelsea
20,16395,West Ham,Leicester,West Ham,Leicester
24,16396,Man City,Arsenal,Manchester City,Arsenal
25,16397,Newcastle,Southampton,Newcastle United,Southampton
26,16398,Norwich,Leicester,Norwich,Leicester
21,16399,Aston Villa,Brentford,Aston Villa,Brentford
22,16400,Brighton,Everton,Brighton,Everton
28,16401,West Ham,Crystal Palace,West Ham,Crystal Palace
23,16402,Liverpool,Chelsea,Liverpool,Chelsea
29,16403,Burnley,Leeds,Burnley,Leeds
27,16404,Spurs,Watford,Tottenham,Watford
30,16405,Wolves,Man Utd,Wolverhampton Wanderers,Manchester United
34,16406,Crystal Palace,Spurs,Crystal Palace,Tottenham
31,16407,Arsenal,Norwich,Arsenal,Norwich
32,16408,Brentford,Brighton,Brentford,Brighton
37,16409,Leicester,Man City,Leicester,Manchester City
38,16410,Man Utd,Newcastle,Manchester United,Newcastle United
39,16411,Southampton,West Ham,Southampton,West Ham
40,16412,Watford,Wolves,Watford,Wolverhampton Wanderers
33,16413,Chelsea,Aston Villa,Chelsea,Aston Villa
36,16414,Leeds,Liverpool,Leeds,Liverpool
35,16415,Everton,Burnley,Everton,Burnley
46,16416,Newcastle,Leeds,Newcastle United,Leeds
50,16417,Wolves,Brentford,Wolverhampton Wanderers,Brentford
47,16418,Norwich,Watford,Norwich,Watford
43,16419,Burnley,Arsenal,Burnley,Arsenal
44,16420,Liverpool,Crystal Palace,Liverpool,Crystal Palace
45,16421,Man City,Southampton,Manchester City,Southampton
41,16422,Aston Villa,Everton,Aston Villa,Everton
42,16423,Brighton,Leicester,Brighton,Leicester
49,16424,West Ham,Man Utd,West Ham,Manchester United
48,16425,Spurs,Chelsea,Tottenham,Chelsea
53,16426,Chelsea,Man City,Chelsea,Manchester City
58,16431,Man Utd,Aston Villa,Manchester United,Aston Villa
60,16427,Watford,Newcastle,Watford,Newcastle United
55,16428,Everton,Norwich,Everton,Norwich
56,16429,Leeds,West Ham,Leeds,West Ham
57,16430,Leicester,Burnley,Leicester,Burnley
52,16432,Brentford,Liverpool,Brentford,Liverpool
