id,isResult,h,a,goals,xG,datetime,forecast
16376,True,244,83,"{'h': '2', 'a': '0'}","{'h': '1.88818', 'a': '1.02385'}",2021-08-13 19:00:00,"{'w': '0.6289', 'd': '0.2287', 'l': '0.1424'}"
16377,True,89,245,"{'h': '5', 'a': '1'}","{'h': '1.64248', 'a': '0.568342'}",2021-08-14 11:30:00,"{'w': '0.6618', 'd': '0.2327', 'l': '0.1055'}"
16378,True,92,220,"{'h': '1', 'a': '2'}","{'h': '1.79548', 'a': '1.6853'}",2021-08-14 14:00:00,"{'w': '0.3894', 'd': '0.2877', 'l': '0.3229'}"
16379,True,80,78,"{'h': '3', 'a': '0'}","{'h': '1.18709', 'a': '0.321701'}",2021-08-14 14:00:00,"{'w': '0.6405', 'd': '0.2822', 'l': '0.0773'}"
16380,True,72,74,"{'h': '3', 'a': '1'}","{'h': '2.38863', 'a': '0.580601'}",2021-08-14 14:00:00,"{'w': '0.8359', 'd': '0.1234', 'l': '0.0407'}"
16381,True,75,229,"{'h': '1', 'a': '0'}","{'h': '0.668082', 'a': '1.32714'}",2021-08-14 14:00:00,"{'w': '0.1683', 'd': '0.275', 'l': '0.5567'}"
16382,True,90,71,"{'h': '3', 'a': '2'}","{'h': '1.35036', 'a': '1.13718'}",2021-08-14 14:00:00,"{'w': '0.3877', 'd': '0.3205', 'l': '0.2918'}"
16383,True,79,87,"{'h': '0', 'a': '3'}","{'h': '1.3333', 'a': '1.78728'}",2021-08-14 16:30:00,"{'w': '0.2578', 'd': '0.2601', 'l': '0.4821'}"
16384,True,86,81,"{'h': '2', 'a': '4'}","{'h': '1.67926', 'a': '3.00939'}",2021-08-15 13:00:00,"{'w': '0.1222', 'd': '0.1825', 'l': '0.6953'}"
16385,True,82,88,"{'h': '1', 'a': '0'}","{'h': '1.06014', 'a': '2.10585'}",2021-08-15 15:30:00,"{'w': '0.143', 'd': '0.2222', 'l': '0.6348'}"
